L,rho,n_samples,mean,std,second_moment,fourth_moment,binder_cumulant
10,0.06000000,10000,9.1268580000e-01,3.0485373774e-02,8.3392463460e-01,6.9850054614e-01,0.6651950358559842
10,0.06400000,10000,9.0230680000e-01,3.2224647656e-02,8.1519588540e-01,6.6789591829e-01,0.6649855213754576
10,0.06795900,10000,8.9183530000e-01,3.3436575398e-02,7.9648809510e-01,6.3791347556e-01,0.6648170306959179
10,0.07187800,10000,8.8044740000e-01,3.4650588733e-02,7.7638816740e-01,6.0647158662e-01,0.6646244573443408
10,0.07575700,10000,8.6950350000e-01,3.6065765786e-02,7.5733694590e-01,5.7745977772e-01,0.6643998110047296
10,0.07959500,10000,8.5772750000e-01,3.7258862919e-02,7.3708454830e-01,5.4734920317e-01,0.6641784039726997
10,0.08339300,10000,8.4619250000e-01,3.8169555083e-02,7.1749851630e-01,5.1895283034e-01,0.6639803961184823
10,0.08715100,10000,8.3424760000e-01,4.0218347129e-02,6.9758641180e-01,4.9110737404e-01,0.6635975302557553
10,0.09086800,10000,8.2206520000e-01,4.1022621010e-02,6.7747388020e-01,4.6349439730e-01,0.6633813898636818
10,0.09454500,10000,8.1006630000e-01,4.1729011914e-02,6.5794854670e-01,4.3744925981e-01,0.6631608464452984
10,0.09818100,10000,7.9794260000e-01,4.2650088021e-02,6.3853124100e-01,4.1233681100e-01,0.6628939460275932
10,0.10177700,10000,7.8660500000e-01,4.3690638153e-02,6.2065610700e-01,3.8991175208e-01,0.6626016111486699
10,0.10533200,10000,7.7476760000e-01,4.4636330835e-02,6.0225703680e-01,3.6747133820e-01,0.6622942539876343
10,0.10884700,10000,7.6134820000e-01,4.5314788974e-02,5.8170430640e-01,3.4312283181e-01,0.661994470589284
10,0.11232200,10000,7.5030100000e-01,4.5737553404e-02,5.6504330520e-01,3.2397570772e-01,0.6617578507291086
10,0.11575600,10000,7.3863980000e-01,4.6044016561e-02,5.4770859360e-01,3.0460917651e-01,0.661528101318634
10,0.11915000,10000,7.2617860000e-01,4.7041281767e-02,5.2954802000e-01,2.8508708937e-01,0.6611202654423871
10,0.12250300,10000,7.1382970000e-01,4.7482189858e-02,5.1180717350e-01,2.6654295950e-01,0.6608176667119999
10,0.12581700,10000,7.0313410000e-01,4.8044649505e-02,4.9670562010e-01,2.5129038455e-01,0.6604869529554749
10,0.12908900,10000,6.9111600000e-01,4.8542665595e-02,4.7999748020e-01,2.3489431289e-01,0.6601609098595762
10,0.13232100,10000,6.8017220000e-01,4.8804902817e-02,4.6501590200e-01,2.2064139032e-01,0.6598816045468641
10,0.13551300,10000,6.6946030000e-01,4.9488090800e-02,4.5062591950e-01,2.0746205356e-01,0.6594467092265865
10,0.13866500,10000,6.5728000000e-01,4.9567688019e-02,4.3447370840e-01,1.9301569425e-01,0.6591648577629848
10,0.14177600,10000,6.4670580000e-01,4.9601692301e-02,4.2068847360e-01,1.8108725145e-01,0.6589285273637143
10,0.14484600,10000,6.3518280000e-01,5.0082174539e-02,4.0596516280e-01,1.6885255738e-01,0.658485730849646
10,0.14787700,10000,6.2485180000e-01,4.9233817988e-02,3.9286349840e-01,1.5814101090e-01,0.6584613192024724
10,0.15086600,10000,6.1448070000e-01,5.0952264335e-02,3.8018240430e-01,1.4847279059e-01,0.6575938229224968
10,0.15381600,10000,6.0439390000e-01,5.0884410826e-02,3.6788095070e-01,1.3914084892e-01,0.6572962996721786
10,0.15672500,10000,5.9402890000e-01,5.1308144747e-02,3.5550259650e-01,1.3010334286e-01,0.6568518620464354
10,0.15959300,10000,5.8331070000e-01,5.1156980650e-02,3.4286814770e-01,1.2114027096e-01,0.6565108655853673
10,0.16242200,10000,5.7316870000e-01,5.2122456920e-02,3.3123883750e-01,1.1328840853e-01,0.6558231008034751
10,0.16520900,10000,5.6413020000e-01,5.2304414949e-02,3.2097836080e-01,1.0650394005e-01,0.6554177439024813
10,0.16795700,10000,5.5359280000e-01,5.1964692062e-02,3.0916504740e-01,9.8901679167e-02,0.6550932986257985
10,0.17066400,10000,5.4308200000e-01,5.2318103888e-02,2.9767496900e-01,9.1828690641e-02,0.6545600970154779
10,0.17333000,10000,5.3476630000e-01,5.2262273380e-02,2.8870606770e-01,8.6480316386e-02,0.6541528572181818
10,0.17595700,10000,5.2512870000e-01,5.3732549307e-02,2.7864704970e-01,8.0808957551e-02,0.6530799891112767
10,0.17854200,10000,5.1609110000e-01,5.3933214997e-02,2.6925852430e-01,7.5577284706e-02,0.6525189641007098
10,0.18108800,10000,5.0601720000e-01,5.4000443600e-02,2.5896916300e-01,7.0026192371e-02,0.6519487871143173
10,0.18359300,10000,4.9827250000e-01,5.4459554057e-02,2.5124103070e-01,6.6025950968e-02,0.6513318499238668
10,0.18605700,10000,4.8920290000e-01,5.4590167065e-02,2.4229926570e-01,6.1508695366e-02,0.6507703853066982
