L,rho,n_samples,mean,std,second_moment,fourth_moment,binder_cumulant
120,0.06000000,1000,8.8507985359e-01,1.0255068471e-03,7.8336739784e-01,6.1366777228e-01,0.6666648783505753
120,0.06400000,1000,8.7180374942e-01,1.0848635934e-03,7.6004295326e-01,5.7766886531e-01,0.6666646040442178
120,0.06795900,1000,8.5822939120e-01,1.1156076001e-03,7.3655893126e-01,5.4252272223e-01,0.6666644160477155
120,0.07187800,1000,8.4433064583e-01,1.1465443245e-03,7.1289555274e-01,5.0822381432e-01,0.6666642102485798
120,0.07575700,1000,8.3031363310e-01,1.1641068131e-03,6.8942208310e-01,4.7530654202e-01,0.6666640484406164
120,0.07959500,1000,8.1615351678e-01,1.2465295958e-03,6.6610811524e-01,4.4370415662e-01,0.6666635598858115
120,0.08339300,1000,8.0194098553e-01,1.2614790667e-03,6.4311093401e-01,4.1359576276e-01,0.666663370891988
120,0.08715100,1000,7.8770051794e-01,1.2937411505e-03,6.2047377806e-01,3.8499185901e-01,0.6666630736936558
120,0.09086800,1000,7.7334125000e-01,1.3526182196e-03,5.9805851670e-01,3.5767836112e-01,0.6666625924468377
120,0.09454500,1000,7.5916750463e-01,1.3940296463e-03,5.7633724146e-01,3.3216908984e-01,0.6666621769776916
120,0.09818100,1000,7.4491181192e-01,1.3759643524e-03,5.5489549892e-01,3.0791321241e-01,0.666662122378552
120,0.10177700,1000,7.3060194618e-01,1.4821928406e-03,5.3378139846e-01,2.8492726732e-01,0.6666611845025938
120,0.10533200,1000,7.1645052951e-01,1.4809617363e-03,5.1330355230e-01,2.6348503409e-01,0.66666097707747
120,0.10884700,1000,7.0246797917e-01,1.4712607991e-03,4.9346342420e-01,2.4351041919e-01,0.6666608240168652
120,0.11232200,1000,6.8853413773e-01,1.5388403928e-03,4.7408162448e-01,2.2475787151e-01,0.6666600151754398
120,0.11575600,1000,6.7482125347e-01,1.5497102855e-03,4.5538612334e-01,2.0738089094e-01,0.6666596430390763
120,0.11915000,1000,6.6111754456e-01,1.6445725905e-03,4.3707910964e-01,1.9104287270e-01,0.6666584229108499
120,0.12250300,1000,6.4755938600e-01,1.6008286609e-03,4.1933571848e-01,1.7584673930e-01,0.666658525836632
120,0.12581700,1000,6.3422538194e-01,1.6039951170e-03,4.0224440533e-01,1.6180469704e-01,0.6666581470894335
120,0.12908900,1000,6.2070179398e-01,1.7036681459e-03,3.8527361663e-01,1.4844022687e-01,0.6666566349450136
120,0.13232100,1000,6.0751633912e-01,1.6837527349e-03,3.6907893449e-01,1.3622344127e-01,0.6666564346690136
120,0.13551300,1000,5.9446739931e-01,1.6509530020e-03,3.5339421176e-01,1.2489131893e-01,0.6666563906891324
120,0.13866500,1000,5.8128939294e-01,1.7569770630e-03,3.3790044223e-01,1.1418087588e-01,0.6666545012372779
120,0.14177600,1000,5.6845525694e-01,1.6664764967e-03,3.2314415351e-01,1.0442572999e-01,0.6666552194144949
120,0.14484600,1000,5.5583063426e-01,1.6857503947e-03,3.0895053289e-01,9.5453939442e-02,0.6666544171429676
120,0.14787700,1000,5.4326408970e-01,1.7187162897e-03,2.9513882219e-01,8.7110406033e-02,0.6666533433060833
120,0.15086600,1000,5.3104138600e-01,1.6901280322e-03,2.8200780732e-01,7.9531622466e-02,0.666653174300271
120,0.15381600,1000,5.1892660012e-01,1.6772341469e-03,2.6928762661e-01,7.2518852728e-02,0.6666527530012915
120,0.15672500,1000,5.0706969039e-01,1.7525086167e-03,2.5712273913e-01,6.6115257233e-02,0.6666507631003755
120,0.15959300,1000,4.9542440509e-01,1.7278421097e-03,2.4544832361e-01,6.0247808133e-02,0.6666504629748522
120,0.16242200,1000,4.8414807350e-01,1.7594390904e-03,2.3440244960e-01,5.4947408822e-02,0.6666490704635971
120,0.16520900,1000,4.7294603993e-01,1.7664534315e-03,2.2368107392e-01,5.0036009258e-02,0.666648102823505
120,0.16795700,1000,4.6213883565e-01,1.6766050403e-03,2.1357511161e-01,4.5616728177e-02,0.6666491292043475
120,0.17066400,1000,4.5148249884e-01,1.6932127141e-03,2.0383931086e-01,4.1552800370e-02,0.6666479286726211
120,0.17333000,1000,4.4107582292e-01,1.7133909223e-03,1.9455081433e-01,3.7852301630e-02,0.6666465674069061
120,0.17595700,1000,4.3097396007e-01,1.7471565809e-03,1.8574160376e-01,3.4502209105e-02,0.6666447754481114
120,0.17854200,1000,4.2099257986e-01,1.7117213372e-03,1.7723767936e-01,3.1415269127e-02,0.6666446574130523
120,0.18108800,1000,4.1131738600e-01,1.7311898129e-03,1.6918498604e-01,2.8625584195e-02,0.6666430882773278
120,0.18359300,1000,4.0192629340e-01,1.7213881366e-03,1.6154770554e-01,2.6099574065e-02,0.6666422340982323
120,0.18605700,1000,3.9275792130e-01,1.7636392989e-03,1.5426189205e-01,2.3798649406e-02,0.6666397993089502
120,0.18848200,1000,3.8384296238e-01,1.7032593664e-03,1.4733831796e-01,2.1710288398e-02,0.6666404334448505
120,0.19086500,1000,3.7512202431e-01,1.7389461375e-03,1.4071955403e-01,1.9803693884e-02,0.6666380332167563
120,0.19320900,1000,3.6659955324e-01,1.6560728807e-03,1.3439797227e-01,1.8064287645e-02,0.6666394893970297
120,0.19551200,1000,3.5820823553e-01,1.7170919479e-03,1.2831608546e-01,1.6466531161e-02,0.6666360285179992
120,0.19777400,1000,3.5017549306e-01,1.6959876477e-03,1.2262574943e-01,1.5038485087e-02,0.6666353958923829
120,0.19999600,1000,3.4222124942e-01,1.7020773068e-03,1.1711827773e-01,1.3718046692e-02,0.6666337210593172
120,0.20217800,1000,3.3462881308e-01,1.7132391215e-03,1.1197937480e-01,1.2540693441e-02,0.6666317616523254
120,0.20432000,1000,3.2714398843e-01,1.7337651511e-03,1.0702619210e-01,1.1455892411e-02,0.6666292256506479
120,0.20642100,1000,3.1980068576e-01,1.6992594378e-03,1.0227536321e-01,1.0461430423e-02,0.6666290479496492
120,0.20848100,1000,3.1270869329e-01,1.7421797910e-03,9.7789759013e-02,9.5640237815e-03,0.6666252977098939
120,0.21050100,1000,3.0580775289e-01,1.7289167331e-03,9.3521367894e-02,8.7473640236e-03,0.6666240666419667
120,0.21248100,1000,2.9906238368e-01,1.7195545807e-03,8.9441263244e-02,8.0007964486e-03,0.6666226286514214
120,0.21442000,1000,2.9246434028e-01,1.7803909075e-03,8.5538556956e-02,7.3179292363e-03,0.6666172596628179
120,0.21631900,1000,2.8600710243e-01,1.7907310826e-03,8.1803266152e-02,6.6928235930e-03,0.6666144015097443
120,0.21817800,1000,2.7976613310e-01,1.7824593766e-03,7.8272263215e-02,6.1275409606e-03,0.6666125975078581
120,0.21999600,1000,2.7364278125e-01,1.7846708448e-03,7.4883553595e-02,5.6085008238e-03,0.6666099440160984
120,0.22177400,1000,2.6752515394e-01,1.8196980104e-03,7.1573015978e-02,5.1236442573e-03,0.6666050037520378
120,0.22351100,1000,2.6165989757e-01,1.7890130459e-03,6.8469099363e-02,4.6888941290e-03,0.6666043402937923
120,0.22520800,1000,2.5599879340e-01,1.8510415762e-03,6.5538805152e-02,4.2962325695e-03,0.6665970105736791
