L,rho,mean_density,std_density
10,0.0600000,9.1268580000e-01,3.0483849468e-02
10,0.0640000,9.0230680000e-01,3.2223036383e-02
10,0.0679590,8.9183530000e-01,3.3434903528e-02
10,0.0718780,8.8044740000e-01,3.4648856161e-02
10,0.0757570,8.6950350000e-01,3.6063962452e-02
10,0.0795950,8.5772750000e-01,3.7256999930e-02
10,0.0833930,8.4619250000e-01,3.8167646558e-02
10,0.0871510,8.3424760000e-01,4.0216336161e-02
10,0.0908680,8.2206520000e-01,4.1020569827e-02
10,0.0945450,8.1006630000e-01,4.1726925412e-02
10,0.0981810,7.9794260000e-01,4.2647955464e-02
10,0.1017770,7.8660500000e-01,4.3688453566e-02
10,0.1053320,7.7476760000e-01,4.4634098963e-02
10,0.1088470,7.6134820000e-01,4.5312523178e-02
10,0.1123220,7.5030100000e-01,4.5735266469e-02
10,0.1157560,7.3863980000e-01,4.6041714303e-02
10,0.1191500,7.2617860000e-01,4.7038929644e-02
10,0.1225030,7.1382970000e-01,4.7479815690e-02
10,0.1258170,7.0313410000e-01,4.8042247212e-02
10,0.1290890,6.9111600000e-01,4.8540238401e-02
10,0.1323210,6.8017220000e-01,4.8802462511e-02
10,0.1355130,6.6946030000e-01,4.9485616334e-02
10,0.1386650,6.5728000000e-01,4.9565209573e-02
10,0.1417760,6.4670580000e-01,4.9599212155e-02
10,0.1448460,6.3518280000e-01,5.0079670368e-02
10,0.1478770,6.2485180000e-01,4.9231356235e-02
10,0.1508660,6.1448070000e-01,5.0949716658e-02
10,0.1538160,6.0439390000e-01,5.0881866542e-02
10,0.1567250,5.9402890000e-01,5.1305579275e-02
10,0.1595930,5.8331070000e-01,5.1154422737e-02
10,0.1624220,5.7316870000e-01,5.2119850732e-02
10,0.1652090,5.6413020000e-01,5.2301799663e-02
10,0.1679570,5.5359280000e-01,5.1962093762e-02
10,0.1706640,5.4308200000e-01,5.2315487917e-02
10,0.1733300,5.3476630000e-01,5.2259660201e-02
10,0.1759570,5.2512870000e-01,5.3729862612e-02
10,0.1785420,5.1609110000e-01,5.3930518269e-02
10,0.1810880,5.0601720000e-01,5.3997743510e-02
10,0.1835930,4.9827250000e-01,5.4456831011e-02
10,0.1860570,4.8920290000e-01,5.4587437489e-02
10,0.1884820,4.8173770000e-01,5.4827583375e-02
10,0.1908650,4.7167360000e-01,5.5045983169e-02
10,0.1932090,4.6355720000e-01,5.6718357947e-02
10,0.1955120,4.5546150000e-01,5.7225308367e-02
10,0.1977740,4.4659450000e-01,5.8575246220e-02
10,0.1999960,4.4007450000e-01,5.9517610417e-02
10,0.2021780,4.3252640000e-01,6.1305843955e-02
10,0.2043200,4.2330070000e-01,6.1296349643e-02
10,0.2064210,4.1554150000e-01,6.2739869921e-02
10,0.2084810,4.0742710000e-01,6.3619574705e-02
10,0.2105010,3.9893030000e-01,6.5670240154e-02
10,0.2124810,3.9179550000e-01,6.6640972980e-02
10,0.2144200,3.8503820000e-01,6.7842807583e-02
10,0.2163190,3.7646600000e-01,7.0243146598e-02
10,0.2181780,3.6996210000e-01,7.0743619243e-02
10,0.2199960,3.6280410000e-01,7.1581423031e-02
10,0.2217740,3.5494590000e-01,7.4362611393e-02
10,0.2235110,3.4665550000e-01,7.5113622065e-02
10,0.2252080,3.4092090000e-01,7.6209941892e-02
10,0.2268640,3.3413380000e-01,7.6579567102e-02
10,0.2284810,3.2625520000e-01,7.7598171840e-02
10,0.2300560,3.2044470000e-01,7.8517922425e-02
10,0.2315920,3.1333200000e-01,8.0207136690e-02
10,0.2330870,3.0772990000e-01,8.0010723944e-02
10,0.2345410,3.0033860000e-01,8.1187919976e-02
10,0.2359550,2.9633140000e-01,8.1636710946e-02
10,0.2373290,2.8987910000e-01,8.2702273749e-02
10,0.2386620,2.8613000000e-01,8.2474717944e-02
10,0.2399550,2.7904600000e-01,8.2375939958e-02
10,0.2412080,2.7327960000e-01,8.4122186276e-02
10,0.2424200,2.6825280000e-01,8.3153470716e-02
10,0.2435910,2.6180620000e-01,8.4285462813e-02
10,0.2447230,2.5891840000e-01,8.3984070760e-02
10,0.2458130,2.5437340000e-01,8.3582943071e-02
10,0.2468640,2.4937410000e-01,8.4444992446e-02
10,0.2478740,2.4426480000e-01,8.3744496422e-02
10,0.2488440,2.4087160000e-01,8.4201172874e-02
10,0.2497730,2.3602280000e-01,8.3874417316e-02
10,0.2506620,2.3475370000e-01,8.4445695191e-02
10,0.2515100,2.2906480000e-01,8.4355475228e-02
10,0.2523180,2.2588740000e-01,8.3972859432e-02
10,0.2530860,2.2354470000e-01,8.3861242549e-02
10,0.2538130,2.1975250000e-01,8.3411577396e-02
10,0.2545000,2.1918240000e-01,8.4017828645e-02
10,0.2551470,2.1571380000e-01,8.3794383401e-02
10,0.2557530,2.1256320000e-01,8.2255004746e-02
10,0.2563180,2.1017350000e-01,8.2616675059e-02
10,0.2568440,2.0772690000e-01,8.2174684158e-02
10,0.2573280,2.0668780000e-01,8.1588545343e-02
10,0.2577730,2.0457620000e-01,8.1335838310e-02
10,0.2581770,2.0301580000e-01,8.2079106662e-02
10,0.2585400,2.0085510000e-01,8.1704541514e-02
10,0.2588640,1.9907380000e-01,8.1848961836e-02
10,0.2591460,2.0015990000e-01,8.0757030233e-02
10,0.2593890,1.9878770000e-01,8.1287208272e-02
10,0.2595910,1.9767150000e-01,8.1206910961e-02
10,0.2597530,1.9762760000e-01,8.0762618322e-02
10,0.2598740,1.9774740000e-01,8.1620186187e-02
10,0.2599550,1.9616120000e-01,8.1140753106e-02
10,0.2599950,1.9641050000e-01,8.0591500729e-02
10,0.2600050,1.9600670000e-01,8.1147095174e-02
10,0.2600450,1.9583320000e-01,8.1285865793e-02
10,0.2601260,1.9568310000e-01,8.0777014518e-02
10,0.2602470,1.9567420000e-01,8.0275431200e-02
10,0.2604090,1.9557760000e-01,8.0418079921e-02
