L,rho,mean_density,std_density,second_moment,fourth_moment,Binder_cumulant
120,0.2450000,1.8516376944e-01,2.1522462146e-03,3.4290253679e-02,1.1764558510e-03,6.6648683392e-01
120,0.2464740,1.7891482743e-01,2.3042308645e-03,3.2015824954e-02,1.0256916011e-03,6.6644600165e-01
120,0.2478490,1.7287458866e-01,2.4937355558e-03,2.9891842120e-02,8.9426389115e-04,6.6638998420e-01
120,0.2491270,1.6692915683e-01,2.6781745982e-03,2.7872516019e-02,7.7767506678e-04,6.6632430556e-01
120,0.2503120,1.6127142674e-01,2.8609203005e-03,2.6016657946e-02,6.7771522023e-04,6.6624869673e-01
120,0.2514070,1.5569661296e-01,3.1007786531e-03,2.4251050116e-02,5.8904150718e-04,6.6614064828e-01
120,0.2524170,1.5018504271e-01,3.4067287191e-03,2.2567152854e-02,5.1031599816e-04,6.6598621741e-01
120,0.2533450,1.4504118252e-01,3.7424875786e-03,2.1050950841e-02,4.4431336678e-04,6.6578596021e-01
120,0.2541930,1.3986546262e-01,4.0881207744e-03,1.9579060364e-02,3.8463571347e-04,6.6553963404e-01
120,0.2549660,1.3505703681e-01,4.4567305910e-03,1.8260265638e-02,3.3486581097e-04,6.6523860230e-01
120,0.2556680,1.3034369907e-01,4.7895479372e-03,1.7012419658e-02,2.9095637731e-04,6.6489998174e-01
120,0.2563010,1.2572091863e-01,5.2351784937e-03,1.5833156476e-02,2.5238374115e-04,6.6441301346e-01
120,0.2568690,1.2155447535e-01,5.8747727092e-03,1.4810003431e-02,2.2131726578e-04,6.6365597026e-01
120,0.2573750,1.1767469525e-01,6.1341132269e-03,1.3884961248e-02,1.9481211813e-04,6.6317418478e-01
120,0.2578240,1.1383377639e-01,6.8927201100e-03,1.3005638237e-02,1.7149010032e-04,6.6204843610e-01
120,0.2582190,1.1021781331e-01,7.3874734046e-03,1.2202541134e-02,1.5140144550e-04,6.6107140894e-01
120,0.2585620,1.0701509919e-01,7.9479976084e-03,1.1515402121e-02,1.3528471581e-04,6.5992926310e-01
120,0.2588590,1.0413549549e-01,8.6497664532e-03,1.0919019880e-02,1.2219759984e-04,6.5835575642e-01
120,0.2591110,1.0131873981e-01,9.6063649929e-03,1.0357769286e-02,1.1062875601e-04,6.5627247737e-01
120,0.2593240,9.8961055324e-02,1.0192785408e-02,9.8971833452e-03,1.0149254981e-04,6.5462597056e-01
120,0.2594990,9.6963998380e-02,1.0765469116e-02,9.5179123070e-03,9.4304698358e-05,6.5300063718e-01
120,0.2596410,9.5578406019e-02,1.0892263266e-02,9.2538730961e-03,8.9405103659e-05,6.5198819389e-01
120,0.2597540,9.4117928588e-02,1.1319270093e-02,8.9863103571e-03,8.4631529221e-05,6.5066016855e-01
120,0.2598400,9.3185059491e-02,1.1871653759e-02,8.8243914753e-03,8.1965925801e-05,6.4913296971e-01
120,0.2599030,9.2477578819e-02,1.1872375893e-02,8.6930558937e-03,7.9649193326e-05,6.4867004267e-01
120,0.2599470,9.1788139236e-02,1.2009549289e-02,8.5692917785e-03,7.7527777643e-05,6.4807816035e-01
120,0.2599750,9.1553025694e-02,1.2090033612e-02,8.5281254265e-03,7.6822570603e-05,6.4790454230e-01
120,0.2599910,9.1577826620e-02,1.2198599338e-02,8.5353041543e-03,7.7052853718e-05,6.4744289641e-01
120,0.2599980,9.1440312153e-02,1.1967764904e-02,8.5045580834e-03,7.6398322051e-05,6.4790564494e-01
120,0.2600000,9.1084578241e-02,1.2252648845e-02,8.4465277970e-03,7.5513910116e-05,6.4718318700e-01
120,0.2600020,9.1147562731e-02,1.2469440581e-02,8.4633651403e-03,7.5956611272e-05,6.4652543432e-01
120,0.2600090,9.0887064005e-02,1.2459523875e-02,8.4156981386e-03,7.5126826030e-05,6.4641528117e-01
120,0.2600250,9.0643205208e-02,1.2682405688e-02,8.3770340645e-03,7.4604030685e-05,6.4562712305e-01
120,0.2600530,9.0207721759e-02,1.2473283075e-02,8.2930158557e-03,7.3006234053e-05,6.4615448096e-01
120,0.2600970,9.0009601389e-02,1.2165111102e-02,8.2497182703e-03,7.2153851452e-05,6.4660530309e-01
120,0.2601600,8.9254373032e-02,1.2777371483e-02,8.1296043274e-03,7.0404545067e-05,6.4490821559e-01
120,0.2602460,8.7996238542e-02,1.3227807574e-02,7.9183128907e-03,6.7167666801e-05,6.4291328741e-01
120,0.2603590,8.5868984606e-02,1.3677875885e-02,7.5605668061e-03,6.1728704640e-05,6.4003755061e-01
