L,rho,mean_density,std_density,second_moment,fourth_moment,Binder_cumulant
10,0.0000000,1.0000000000e+00,0.0000000000e+00,1.0000000000e+00,1.0000000000e+00,6.6666666667e-01
10,0.0154410,9.9316540000e-01,8.7598654579e-03,9.8645424700e-01,9.7339137876e-01,6.6656410790e-01
10,0.0302590,9.7553140000e-01,1.6683920823e-02,9.5193986560e-01,9.0723705488e-01,6.6628133624e-01
10,0.0444660,9.4964250000e-01,2.3508608928e-02,9.0237353250e-01,8.1625138470e-01,6.6585883750e-01
10,0.0580740,9.1777250000e-01,2.9782319314e-02,8.4319334830e-01,7.1393468209e-01,6.6527906074e-01
10,0.0710970,8.8271060000e-01,3.4479716467e-02,7.8036685420e-01,6.1264956553e-01,6.6465391085e-01
10,0.0835480,8.4472830000e-01,3.9379612480e-02,7.1511665470e-01,5.1578802264e-01,6.6380115823e-01
10,0.0954400,8.0739270000e-01,4.1945670655e-02,6.5364241130e-01,4.3181629049e-01,6.6310286270e-01
10,0.1067850,7.6912110000e-01,4.4206042967e-02,5.9350144070e-01,3.5685318761e-01,6.6230489091e-01
10,0.1175960,7.3104610000e-01,4.7452375860e-02,5.3668012830e-01,2.9283698210e-01,6.6109838540e-01
10,0.1278860,6.9547370000e-01,4.7901406120e-02,4.8597821210e-01,2.4060523326e-01,6.6041365660e-01
10,0.1376680,6.6034920000e-01,4.9824456438e-02,4.3854354240e-01,1.9665278752e-01,6.5915775954e-01
10,0.1469550,6.2789520000e-01,5.0102730634e-02,3.9676266580e-01,1.6137692072e-01,6.5828930600e-01
10,0.1557600,5.9657880000e-01,5.1773717179e-02,3.5858678240e-01,1.3239644696e-01,6.5678479386e-01
10,0.1640950,5.6728270000e-01,5.2175156739e-02,3.2453190870e-01,1.0880644646e-01,6.5563534961e-01
10,0.1719730,5.4065280000e-01,5.2738813526e-02,2.9508683260e-01,9.0313584440e-02,6.5427390330e-01
10,0.1794080,5.1241070000e-01,5.4310862868e-02,2.6551439530e-01,7.3563868324e-02,6.5216990166e-01
10,0.1864120,4.8860410000e-01,5.5272833862e-02,2.4178905270e-01,6.1330791975e-02,6.5030932561e-01
10,0.1929980,4.6475530000e-01,5.7036155392e-02,2.1925061190e-01,5.0774558285e-02,6.4791844714e-01
10,0.1991780,4.4288330000e-01,5.8827784941e-02,1.9960632570e-01,4.2404751471e-02,6.4523181445e-01
10,0.2049670,4.2017620000e-01,6.2450732210e-02,1.8044813300e-01,3.5097936562e-02,6.4070138433e-01
10,0.2103760,4.0027820000e-01,6.4999167724e-02,1.6444752920e-01,2.9487405609e-02,6.3653666796e-01
10,0.2154180,3.8061980000e-01,6.8468200268e-02,1.4955932660e-01,2.4778660243e-02,6.3074229683e-01
10,0.2201070,3.6204180000e-01,7.1528309450e-02,1.3619056400e-01,2.0881996306e-02,6.2471887394e-01
10,0.2244550,3.4448390000e-01,7.4620683063e-02,1.2423740370e-01,1.7744549708e-02,6.1678809344e-01
10,0.2284750,3.2718980000e-01,7.7613452287e-02,1.1307701320e-01,1.5045453929e-02,6.0777489920e-01
10,0.2321800,3.1087660000e-01,8.0550742842e-02,1.0313268260e-01,1.2827625465e-02,5.9799413647e-01
10,0.2355820,2.9702810000e-01,8.1541349697e-02,9.4874683900e-02,1.1068992833e-02,5.9009221396e-01
10,0.2386950,2.8445310000e-01,8.3801157512e-02,8.7936200100e-02,9.7811593102e-03,5.7836788019e-01
10,0.2415320,2.7305000000e-01,8.3352674222e-02,8.1503970800e-02,8.5246687531e-03,5.7224142698e-01
10,0.2441050,2.6052420000e-01,8.3786904790e-02,7.4893104200e-02,7.3953647225e-03,5.6050425073e-01
10,0.2464270,2.5222990000e-01,8.3203548278e-02,7.0542752900e-02,6.6552314910e-03,5.5420303863e-01
10,0.2485110,2.4213160000e-01,8.4358843528e-02,6.5744126200e-02,5.9614238472e-03,5.4025731205e-01
10,0.2503700,2.3505850000e-01,8.4329626335e-02,6.2363984300e-02,5.4475956894e-03,5.3310856631e-01
10,0.2520170,2.2691550000e-01,8.3969503748e-02,5.8541521700e-02,4.9117279361e-03,5.2226722847e-01
10,0.2534650,2.2404890000e-01,8.3575220663e-02,5.7182727100e-02,4.7136417992e-03,5.1948649876e-01
10,0.2547260,2.1605990000e-01,8.2771627458e-02,5.3533022700e-02,4.2113968804e-03,5.1015194945e-01
10,0.2558130,2.1181430000e-01,8.2570215063e-02,5.1683138100e-02,3.9740702756e-03,5.0407438865e-01
10,0.2567400,2.0816920000e-01,8.2339699850e-02,5.0114242000e-02,3.7806464148e-03,4.9820945318e-01
10,0.2575180,2.0515100000e-01,8.1939672925e-02,4.8801042800e-02,3.6144841267e-03,4.9409745688e-01
10,0.2581620,2.0478560000e-01,8.1955722391e-02,4.8653882400e-02,3.5967389591e-03,4.9353124015e-01
10,0.2586840,2.0121600000e-01,8.1869829266e-02,4.7190547600e-02,3.4296189753e-03,4.8664879619e-01
10,0.2590960,2.0008570000e-01,8.1338558848e-02,4.6650248500e-02,3.3407443877e-03,4.8830158737e-01
10,0.2594110,1.9912150000e-01,8.0608275864e-02,4.6147065900e-02,3.2761714008e-03,4.8718918723e-01
10,0.2596430,1.9691610000e-01,8.0772725971e-02,4.5300183700e-02,3.1853277177e-03,4.8259223789e-01
10,0.2598050,1.9646610000e-01,8.0887210675e-02,4.5141669300e-02,3.1791375983e-03,4.7996468050e-01
10,0.2599080,1.9800900000e-01,8.1290765275e-02,4.5815752600e-02,3.2571182416e-03,4.8277129385e-01
10,0.2599670,1.9642950000e-01,8.0645069470e-02,4.5088175700e-02,3.1617504672e-03,4.8158088171e-01
10,0.2599930,1.9707440000e-01,8.1243325047e-02,4.5438797000e-02,3.2153510454e-03,4.8089705728e-01
10,0.2600000,1.9725830000e-01,8.0962445499e-02,4.5465754500e-02,3.2022217370e-03,4.8362959735e-01
