# d L W rho N_samples N_thermal mean_sweeps sweeps_std dis_mR dis_mAbsR dis_mR2 dis_mR3 dis_mAbsR3 dis_mR4 q_EA dis_mAbsR_sq dis_mR_p4 dis_mAbsR_p4 dis_mR2_sq chi_th_abs chi_dis_abs chi_tot_abs chi_tot_abs_sem_jk chi_th_R chi_dis_R chi_tot_R U4 U_EA U_EA_abs U22 acf_probe_warn_count acf_probe_warn_frac
2 300 300 0.0800000000 5000 128 3.5811831477 29.4223383689 0.0089162284 0.9944293523 0.9888925726 0.0088245012 0.9833894317 0.9779197022 0.9759125571 0.9888922915 0.9648469991 0.9779180370 0.9779185920 0.0253016844 0.2299261656 0.2552278501 0.0123761238 1168.2013954937 87824.9752154805 88993.1766109742 0.6666628551 0.6623121901 0.6666632332 0.6666632335 0 0.0000000000
2 300 300 0.0813114754 5000 128 2.3630072285 23.6744272959 0.0024122885 0.9939552612 0.9879506167 0.0024229748 0.9819857628 0.9760603990 0.9800170844 0.9879503055 0.9680703331 0.9760585589 0.9760591722 0.0280084293 0.2919749790 0.3199834077 0.0240061107 714.0179011056 88201.0138757032 88915.0317768088 0.6666618930 0.6640161804 0.6666623114 0.6666623120 0 0.0000000000
2 300 300 0.0826229508 5000 128 5.5033934131 47.3442004624 0.0046580363 0.9934465415 0.9869403776 0.0046846084 0.9804811097 0.9740683441 0.9755638131 0.9869400254 0.9626127599 0.9740662665 0.9740669586 0.0316973877 0.3595079784 0.3912053656 0.0372591017 1023.8908062006 87798.7904235092 88822.6812297098 0.6666608370 0.6628532369 0.6666613101 0.6666613112 0 0.0000000000
2 300 300 0.0839344262 5000 128 4.8324012891 44.7094464562 -0.0074451978 0.9928486795 0.9857538696 -0.0072820135 0.9787150489 0.9717317024 0.9767678647 0.9857534653 0.9626444159 0.9717293224 0.9717301154 0.0363853568 0.4468490191 0.4832343759 0.0384735347 808.7404355006 87904.1190376033 88712.8594731039 0.6666594591 0.6636728593 0.6666600021 0.6666600035 0 0.0000000000
2 300 300 0.0852459016 5000 128 5.2345806141 47.7576950277 0.0057688563 0.9922349010 0.9845368944 0.0056784083 0.9769052843 0.9693393858 0.9752754043 0.9845364202 0.9600483936 0.9693365989 0.9693375272 0.0426770157 0.5689206529 0.6115976685 0.0594690699 833.5341036141 87771.7912165507 88605.3253201648 0.6666575573 0.6635524834 0.6666581946 0.6666581965 0 0.0000000000
2 300 300 0.0865573770 5000 128 5.1978354268 45.5492732656 0.0071619616 0.9915547297 0.9831892244 0.0070333673 0.9749025737 0.9666938822 0.9734068664 0.9831887052 0.9568494618 0.9666908364 0.9666918508 0.0467311561 0.7130787833 0.7598099389 0.0685003389 880.4122198702 87602.0015432803 88482.4137631505 0.6666553455 0.6633849329 0.6666560437 0.6666560460 0 0.0000000000
2 300 300 0.0878688525 5000 128 4.8565481155 42.3132499480 0.0053526701 0.9907897906 0.9816748604 0.0052720742 0.9726540094 0.9637260588 0.9720469733 0.9816743024 0.9541080169 0.9637227903 0.9637238786 0.0502228131 0.8903986755 0.9406214885 0.0807260440 866.5098387703 87481.6490017661 88348.1588405364 0.6666526485 0.6634095531 0.6666534001 0.6666534027 0 0.0000000000
2 300 300 0.0891803279 5000 128 12.7862881443 99.8096127914 0.0063364905 0.9899330862 0.9799814699 0.0061647825 0.9701434762 0.9604174682 0.9674960851 0.9799806215 0.9479721229 0.9604125533 0.9604141868 0.0763563359 1.1795626551 1.2559189907 0.1198604253 1123.6846311139 87071.0340597926 88194.7186909065 0.6666479978 0.6624206452 0.6666491265 0.6666491367 0 0.0000000000
2 300 300 0.0904918033 5000 128 10.1543821683 84.7150953215 0.0002166817 0.9889921876 0.9781261550 0.0002360952 0.9673990582 0.9568082076 0.9683553203 0.9781246015 0.9470773482 0.9567997637 0.9568025142 0.1398146206 1.7148908636 1.8547054844 0.3473111945 879.3751200365 87151.9746000865 88031.3497201229 0.6666396885 0.6633375274 0.6666415715 0.6666416721 0 0.0000000000
2 300 300 0.0918032787 5000 128 22.7027121129 187.1147389854 0.0192798705 0.9878333697 0.9758583824 0.0187589839 0.9640675840 0.9524544524 0.9665622611 0.9758571760 0.9432086727 0.9524476216 0.9524498911 0.1085743239 3.8168742109 3.9254485348 1.0397816644 836.6509155664 86957.1492927791 87793.8002083455 0.6666124576 0.6634676160 0.6666140243 0.6666140542 0 0.0000000000
