L,rho,mean_density,second_moment_uncentered,forth_moment_uncentered
6000,0.24500000,3.5883803269e-01,1.2889066856e-01,1.6672193224e-02
6000,0.24516795,3.5385636369e-01,1.2537155565e-01,1.5790233321e-02
6000,0.24533011,3.4850364508e-01,1.2164757747e-01,1.4882319627e-02
6000,0.24548648,3.4252917857e-01,1.1762348597e-01,1.3955114660e-02
6000,0.24563706,3.3597800181e-01,1.1329498496e-01,1.2991017513e-02
6000,0.24578184,3.2900389421e-01,1.0876085185e-01,1.2016764491e-02
6000,0.24592084,3.2075677643e-01,1.0369148092e-01,1.1014801733e-02
6000,0.24605404,3.1322603085e-01,9.9037430437e-02,1.0099599694e-02
6000,0.24618145,3.0450342598e-01,9.3943508467e-02,9.1814607760e-03
6000,0.24630307,2.9546998892e-01,8.8837616400e-02,8.3077232111e-03
6000,0.24641890,2.8584879189e-01,8.3511065900e-02,7.4387593484e-03
6000,0.24652894,2.7554414560e-01,7.8050774130e-02,6.6012276997e-03
6000,0.24663319,2.6486576283e-01,7.2616265549e-02,5.8239836742e-03
6000,0.24673164,2.5416490867e-01,6.7376283392e-02,5.1234845215e-03
6000,0.24682430,2.4489350452e-01,6.2956757471e-02,4.5517730990e-03
6000,0.24691117,2.3491555171e-01,5.8391342640e-02,4.0079113937e-03
6000,0.24699226,2.2503210022e-01,5.3896327553e-02,3.4774928211e-03
6000,0.24706754,2.1588477046e-01,5.0074915152e-02,3.0782767355e-03
6000,0.24713704,2.0623902769e-01,4.6090132342e-02,2.6745983094e-03
6000,0.24720075,1.9968424731e-01,4.3409506612e-02,2.4096966320e-03
6000,0.24725866,1.9182492423e-01,4.0402415458e-02,2.1386708050e-03
6000,0.24731078,1.8580511534e-01,3.8120740870e-02,1.9401430093e-03
6000,0.24735712,1.7999590235e-01,3.5980880643e-02,1.7587099806e-03
6000,0.24739766,1.7550298863e-01,3.4274446441e-02,1.6124319913e-03
6000,0.24743240,1.7056111925e-01,3.2567814939e-02,1.4798111883e-03
6000,0.24746136,1.6878632664e-01,3.1898556295e-02,1.4258186614e-03
6000,0.24748453,1.6402366258e-01,3.0267563207e-02,1.3031769895e-03
6000,0.24750190,1.6162653466e-01,2.9510978675e-02,1.2518664722e-03
6000,0.24751348,1.6151859966e-01,2.9397716123e-02,1.2345918511e-03
6000,0.24751928,1.6038650258e-01,2.9026746331e-02,1.2105661922e-03
6000,0.24752072,1.6015084437e-01,2.8964625942e-02,1.2101265222e-03
6000,0.24752652,1.5941135035e-01,2.8721379797e-02,1.1923907411e-03
6000,0.24753810,1.5890152784e-01,2.8541020882e-02,1.1780144690e-03
6000,0.24755547,1.5537158247e-01,2.7440139135e-02,1.1069826626e-03
