L	rho	mean_Delta_E	std_Delta_E
16	0.01	0.045060	12.364276
20	0.01	0.010930	18.277394
24	0.01	-0.044940	25.133756
28	0.01	0.055020	33.155542
32	0.01	-0.092150	42.028916
36	0.01	-0.107310	51.839752
40	0.01	-0.118700	62.677514
44	0.01	0.071210	74.673685
16	0.02	-0.218760	26.896745
20	0.02	-0.039030	40.285132
24	0.02	-0.010570	56.727032
28	0.02	-0.231870	75.690722
32	0.02	-0.263120	97.221120
36	0.02	0.408200	121.481817
40	0.02	0.585500	148.076010
44	0.02	0.319350	177.174235
16	0.03	0.200090	42.390980
20	0.03	0.046380	64.581012
24	0.03	-0.294950	91.569208
28	0.03	-0.538990	122.686075
32	0.03	-0.204500	158.291846
36	0.03	-0.054810	197.622439
40	0.03	0.229910	243.007400
44	0.03	0.054520	291.674219
16	0.04	0.232620	57.707719
20	0.04	0.023520	88.731761
24	0.04	-0.213810	125.595362
28	0.04	0.004560	169.465517
32	0.04	0.858340	219.807579
36	0.04	1.186740	275.997052
40	0.04	2.346450	338.620314
44	0.04	2.938980	408.527731
16	0.05	0.030560	72.486136
20	0.05	0.071700	111.996075
24	0.05	0.559430	159.652039
28	0.05	0.319460	215.540641
32	0.05	-1.234580	278.651886
36	0.05	0.253520	352.196019
40	0.05	0.945660	432.865045
44	0.05	-0.845450	521.581389
16	0.06	-0.039640	85.961115
20	0.06	-0.104330	132.892320
24	0.06	-0.322150	189.939952
28	0.06	-0.523600	258.200037
32	0.06	-0.074280	335.181860
36	0.06	-0.320430	422.338597
40	0.06	-0.525120	520.692145
44	0.06	-4.026120	626.064982
16	0.07	0.121280	98.618760
20	0.07	0.035650	152.052909
24	0.07	-0.379400	217.749014
28	0.07	-0.751000	295.150737
32	0.07	-0.446800	383.041394
36	0.07	-1.025770	484.658246
40	0.07	-0.157050	597.223851
44	0.07	-0.723450	723.344003
16	0.08	-0.359430	108.667714
20	0.08	-0.397600	168.288654
24	0.08	0.848530	241.299379
28	0.08	0.330130	329.176192
32	0.08	-0.341120	429.551600
36	0.08	-0.199840	542.212501
40	0.08	-0.158120	669.831380
44	0.08	2.098800	806.050057
16	0.09	-0.334010	117.870376
20	0.09	-0.371660	183.666610
24	0.09	-0.026760	262.651333
28	0.09	0.830300	356.255217
32	0.09	-0.849870	465.614572
36	0.09	0.723110	588.665957
40	0.09	-2.160870	726.524170
44	0.09	-0.124230	877.685593
16	0.1	-0.083080	125.321878
20	0.1	0.344970	195.876411
24	0.1	1.214960	280.847194
28	0.1	0.561450	381.624725
32	0.1	-0.468880	498.347560
36	0.1	-0.812340	630.540790
40	0.1	-0.488410	775.608594
44	0.1	0.417600	939.899003
16	0.11	-0.480120	131.235915
20	0.11	0.385020	204.878078
24	0.11	0.138250	295.087651
28	0.11	-0.712950	400.719467
32	0.11	-0.353830	522.303085
36	0.11	0.032990	662.648737
40	0.11	-2.002370	816.910958
44	0.11	-2.618590	989.541748
16	0.12	0.132680	136.034778
20	0.12	0.628390	212.405019
24	0.12	0.532480	306.686910
28	0.12	0.051260	416.874620
32	0.12	-1.232440	543.232580
36	0.12	-1.822970	689.718158
40	0.12	-0.414590	848.435426
44	0.12	-0.104930	1026.910160
16	0.13	0.325900	139.127614
20	0.13	0.327690	217.352483
24	0.13	-0.862010	312.766742
28	0.13	-1.488760	425.426175
32	0.13	-3.319420	555.869342
36	0.13	-5.831430	705.115375
40	0.13	-3.802850	868.298276
44	0.13	-6.444490	1051.528160
16	0.14	0.095710	140.997831
20	0.14	0.694190	220.606155
24	0.14	0.284000	318.531598
28	0.14	1.828800	433.508504
32	0.14	2.256030	565.704332
36	0.14	2.935300	715.582792
40	0.14	2.423530	883.122438
44	0.14	2.908020	1071.649543
16	0.15	0.493690	141.142471
20	0.15	0.683930	220.512320
24	0.15	0.443270	318.991374
28	0.15	-1.022870	434.781003
32	0.15	-0.878990	568.255434
36	0.15	-1.477110	717.298007
40	0.15	-1.168800	886.251610
44	0.15	-3.069200	1069.566582
16	0.16	-0.258250	141.696563
20	0.16	-0.591020	220.969605
24	0.16	0.190440	318.750781
28	0.16	-0.873660	436.186178
32	0.16	-1.447710	569.335146
36	0.16	-3.103490	720.488549
40	0.16	-5.782480	887.173900
44	0.16	-6.476870	1074.646145
16	0.17	0.150900	140.068892
20	0.17	0.753250	218.833496
24	0.17	0.765480	315.918005
28	0.17	1.759340	431.072873
