L,rho,E_1st,E_2nd,E_4th,abs_R_1st,R_1st,R_2nd,R_4th,bond_energy_1st,bond_energy_2nd,bond_energy_4th,bond_defect_1st,bond_defect_2nd,bond_defect_4th
800,0.08,0.50021794,0.25021799,0.06260905,0.99434914,-0.00003384,0.98875375,0.97772702,-1.92102112,3.69034161,13.61890836,0.00228080,0.00000983,0.00000000
800,0.081,0.50022789,0.25022795,0.06261403,0.99406194,-0.01403737,0.98818555,0.97661498,-1.91914355,3.68313330,13.56578535,0.00236629,0.00001068,0.00000000
800,0.082,0.50023866,0.25023872,0.06261942,0.99368377,-0.01513210,0.98743713,0.97514932,-1.91717947,3.67560036,13.51037943,0.00248518,0.00001176,0.00000000
800,0.083,0.50024958,0.25024965,0.06262489,0.99328806,-0.01802864,0.98665449,0.97361854,-1.91519674,3.66800413,13.45462968,0.00260539,0.00001292,0.00000000
800,0.084,0.50026087,0.25026094,0.06263054,0.99287967,-0.02113461,0.98584737,0.97204215,-1.91319660,3.66034909,13.39856314,0.00272630,0.00001414,0.00000000
800,0.085,0.50027292,0.25027300,0.06263657,0.99239456,-0.01691924,0.98488885,0.97017096,-1.91112719,3.65243763,13.34074607,0.00287422,0.00001561,0.00000000
800,0.086,0.50028543,0.25028552,0.06264284,0.99183867,-0.01055089,0.98379276,0.96803960,-1.90902352,3.64440401,13.28216469,0.00303211,0.00001722,0.00000000
800,0.087,0.50029845,0.25029854,0.06264936,0.99138484,-0.01884617,0.98289694,0.96629468,-1.90697094,3.63657423,13.22519682,0.00315527,0.00001871,0.00000000
800,0.088,0.50031174,0.25031184,0.06265602,0.99069782,-0.02016989,0.98158187,0.96383858,-1.90485318,3.62850496,13.16661880,0.00330570,0.00002048,0.00000000
800,0.089,0.50032569,0.25032580,0.06266301,0.98991221,-0.01959558,0.98012215,0.96114465,-1.90269362,3.62028588,13.10709053,0.00346855,0.00002244,0.00000000
800,0.09,0.50034052,0.25034064,0.06267044,0.98908315,-0.01127897,0.97849027,0.95799712,-1.90044204,3.61172665,13.04524403,0.00366899,0.00002481,0.00000000
800,0.091,0.50035572,0.25035585,0.06267806,0.98783286,-0.01458783,0.97628220,0.95413107,-1.89824409,3.60338138,12.98508859,0.00383583,0.00002705,0.00000000
800,0.092,0.50037203,0.25037217,0.06268623,0.98622389,-0.01519936,0.97348970,0.94936429,-1.89599162,3.59483922,12.92365956,0.00402213,0.00002958,0.00000000
800,0.093,0.50038882,0.25038897,0.06269464,0.98345083,-0.02725739,0.96884165,0.94196435,-1.89377645,3.58644893,12.86347196,0.00418336,0.00003203,0.00000000
800,0.094,0.50040629,0.25040646,0.06270340,0.97904521,-0.02898586,0.96155749,0.93068231,-1.89143639,3.57759606,12.80011544,0.00439959,0.00003507,0.00000000
800,0.095,0.50042495,0.25042514,0.06271275,0.97240678,-0.02788090,0.95119167,0.91535806,-1.88902007,3.56846614,12.73493967,0.00464623,0.00003850,0.00000000
800,0.096,0.50044439,0.25044459,0.06272249,0.96281477,-0.02485487,0.93616559,0.89361335,-1.88650983,3.55899367,12.66749389,0.00493311,0.00004246,0.00000000
800,0.097,0.50046498,0.25046520,0.06273282,0.94979174,-0.02047284,0.91666120,0.86631141,-1.88391309,3.54920791,12.59800397,0.00525530,0.00004699,0.00000000
800,0.098,0.50048726,0.25048750,0.06274399,0.93168067,-0.02032192,0.88980425,0.82993295,-1.88126769,3.53925189,12.52749002,0.00559532,0.00005180,0.00000001
800,0.099,0.50051104,0.25051130,0.06275592,0.90621140,-0.02688646,0.85316394,0.78194228,-1.87855829,3.52906935,12.45557492,0.00595930,0.00005703,0.00000001
800,0.1,0.50053684,0.25053713,0.06276886,0.87510401,-0.02718909,0.80896315,0.72486049,-1.87569872,3.51833666,12.37997420,0.00639242,0.00006310,0.00000001
800,0.101,0.50056490,0.25056522,0.06278294,0.83560603,-0.02649816,0.75385208,0.65657677,-1.87270465,3.50711577,12.30116781,0.00688354,0.00007003,0.00000001
800,0.102,0.50059485,0.25059521,0.06279796,0.79229736,-0.03101462,0.69474367,0.58448870,-1.86969899,3.49586767,12.22239809,0.00737467,0.00007711,0.00000001
800,0.103,0.50062788,0.25062828,0.06281454,0.74492568,-0.03326138,0.63171231,0.51078478,-1.86659077,3.48425378,12.14131839,0.00791054,0.00008508,0.00000001
800,0.104,0.50066322,0.25066366,0.06283228,0.69488195,-0.03276727,0.56633384,0.43572846,-1.86339060,3.47231409,12.05821168,0.00848553,0.00009374,0.00000001
800,0.105,0.50070138,0.25070188,0.06285144,0.63936583,-0.04018187,0.49630111,0.35896690,-1.86019357,3.46040474,11.97557513,0.00905299,0.00010247,0.00000002
800,0.106,0.50074232,0.25074288,0.06287199,0.58886353,-0.04540743,0.43350213,0.29326844,-1.85700636,3.44855248,11.89361846,0.00960880,0.00011160,0.00000002
800,0.107,0.50078640,0.25078702,0.06289413,0.53837012,-0.04894390,0.37396015,0.23428509,-1.85376155,3.43650606,11.81059570,0.01018601,0.00012162,0.00000002
800,0.108,0.50083346,0.25083416,0.06291778,0.48912115,-0.05287507,0.31862384,0.18345062,-1.85050410,3.42443346,11.72767841,0.01076266,0.00013215,0.00000002
800,0.109,0.50088339,0.25088417,0.06294287,0.44723708,-0.05599173,0.27263343,0.14314519,-1.84724036,3.41235914,11.64504605,0.01133552,0.00014338,0.00000003
800,0.11,0.50093654,0.25093742,0.06296960,0.40902328,-0.05664324,0.23323333,0.11110873,-1.84394282,3.40018220,11.56201689,0.01191968,0.00015562,0.00000003
800,0.111,0.50099214,0.25099313,0.06299756,0.37588498,-0.06267675,0.20148067,0.08740020,-1.84073853,3.38837078,11.48176870,0.01245093,0.00016740,0.00000003
800,0.112,0.50105044,0.25105155,0.06302689,0.34513416,-0.06546606,0.17267827,0.06779843,-1.83744086,3.37623738,11.39963463,0.01302102,0.00018092,0.00000004
800,0.113,0.50111248,0.25111373,0.06305811,0.31867613,-0.06664528,0.14786910,0.05115158,-1.83412013,3.36404084,11.31736628,0.01359506,0.00019510,0.00000004
800,0.114,0.50117684,0.25117823,0.06309051,0.29503832,-0.07007307,0.12853275,0.03985365,-1.83083087,3.35198213,11.23632771,0.01415002,0.00020958,0.00000005
800,0.115,0.50124401,0.25124557,0.06312434,0.27324911,-0.07449789,0.11141588,0.03081140,-1.82752583,3.33988819,11.15535547,0.01470467,0.00022481,0.00000006
800,0.116,0.50131431,0.25131604,0.06315976,0.25593373,-0.07710071,0.09842356,0.02449991,-1.82418419,3.32768327,11.07394681,0.01527063,0.00024122,0.00000007
800,0.117,0.50138749,0.25138943,0.06319665,0.23951563,-0.08128606,0.08678350,0.01946152,-1.82086516,3.31558294,10.99352847,0.01582160,0.00025776,0.00000007
