L,rho,mean_density,second_moment_uncentered,forth_moment_uncentered
2000,0.00000000,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
2000,0.01469901,9.9665259325e-01,9.9331639841e-01,9.8667749429e-01
2000,0.02880420,9.8754248025e-01,9.7524017734e-01,9.5109350901e-01
2000,0.04232782,9.7392705800e-01,9.4853396678e-01,8.9971688523e-01
2000,0.05528211,9.5684967400e-01,9.1556138696e-01,8.3825297680e-01
2000,0.06767932,9.3722542750e-01,8.7839161762e-01,7.7157224032e-01
2000,0.07953168,9.1578368800e-01,8.3865992214e-01,7.0335099810e-01
2000,0.09085144,8.9316210750e-01,7.9773875942e-01,6.3638779562e-01
2000,0.10165085,8.6984274475e-01,7.5662663082e-01,5.7248455519e-01
2000,0.11194215,8.4623149600e-01,7.1610800572e-01,5.1281142317e-01
2000,0.12173758,8.2269437775e-01,6.7682636626e-01,4.5809481554e-01
2000,0.13104938,7.9936729225e-01,6.3898841497e-01,4.0830708152e-01
2000,0.13988981,7.7661036600e-01,6.0312401465e-01,3.6375943137e-01
2000,0.14827109,7.5448474650e-01,5.6924764769e-01,3.2404382944e-01
2000,0.15620549,7.3304177900e-01,5.3735071263e-01,2.8874678328e-01
2000,0.16370523,7.1243999750e-01,5.0757120082e-01,2.5762943916e-01
2000,0.17078257,6.9266793475e-01,4.7978934844e-01,2.3019874136e-01
2000,0.17744975,6.7374729075e-01,4.5393591662e-01,2.0605873299e-01
2000,0.18371901,6.5562184175e-01,4.2984056603e-01,1.8476388639e-01
2000,0.18960259,6.3833687050e-01,4.0747452234e-01,1.6603640246e-01
2000,0.19511274,6.2178690550e-01,3.8661958113e-01,1.4947566755e-01
2000,0.20026171,6.0599143800e-01,3.6722633134e-01,1.3485621919e-01
2000,0.20506173,5.9080396600e-01,3.4905007785e-01,1.2183700634e-01
2000,0.20952505,5.7621754850e-01,3.3202751730e-01,1.1024340646e-01
2000,0.21366391,5.6220361875e-01,3.1607386816e-01,9.9903902592e-02
2000,0.21749056,5.4852326850e-01,3.0087892542e-01,9.0529511025e-02
2000,0.22101724,5.3523836950e-01,2.8648159457e-01,8.2073402456e-02
2000,0.22425620,5.2219913075e-01,2.7269399608e-01,7.4364265430e-02
2000,0.22721967,5.0937286675e-01,2.5946356295e-01,6.7324291896e-02
2000,0.22991991,4.9654786025e-01,2.4656366915e-01,6.0797475837e-02
2000,0.23236915,4.8363971750e-01,2.3391271419e-01,5.4720141130e-02
2000,0.23457963,4.7056502500e-01,2.2144159036e-01,4.9045322770e-02
2000,0.23656362,4.5698750850e-01,2.0885287944e-01,4.3632227586e-02
2000,0.23833333,4.4295503775e-01,1.9623748787e-01,3.8531035761e-02
2000,0.23990103,4.2816866400e-01,1.8337826667e-01,3.3663487537e-02
2000,0.24127895,4.1199071575e-01,1.6983599474e-01,2.8908981260e-02
2000,0.24247934,3.9359785300e-01,1.5519910409e-01,2.4237331063e-02
2000,0.24351444,3.7014214000e-01,1.3784488203e-01,1.9360489830e-02
2000,0.24439649,3.4791248200e-01,1.2241673183e-01,1.5499558615e-02
2000,0.24513774,3.1841882025e-01,1.0394636486e-01,1.1617521793e-02
2000,0.24575043,2.8558170825e-01,8.5191762103e-02,8.2043799917e-03
2000,0.24624681,2.6183239775e-01,7.2696312919e-02,6.2319648787e-03
2000,0.24663912,2.3422942475e-01,5.9364671433e-02,4.4219521344e-03
