cluster_size,total_clusters_of_this_size,n_s
1,56993545647,5.6993545647e-03
2,3479400506,3.4794005060e-04
3,1678180018,1.6781800180e-04
4,1022455390,1.0224553900e-04
5,754404824,7.5440482400e-05
6,532989118,5.3298911800e-05
7,383898394,3.8389839400e-05
8,309390781,3.0939078100e-05
9,245761309,2.4576130900e-05
10,197861981,1.9786198100e-05
11,166580970,1.6658097000e-05
12,139346971,1.3934697100e-05
13,118590616,1.1859061600e-05
14,102282430,1.0228243000e-05
15,88476315,8.8476315000e-06
16,77371659,7.7371659000e-06
17,68062273,6.8062273000e-06
18,60146579,6.0146579000e-06
19,53503178,5.3503178000e-06
20,47780892,4.7780892000e-06
21,42847174,4.2847174000e-06
22,38581093,3.8581093000e-06
23,34869815,3.4869815000e-06
24,31623111,3.1623111000e-06
25,28745013,2.8745013000e-06
26,26217538,2.6217538000e-06
27,23981597,2.3981597000e-06
28,21981766,2.1981766000e-06
29,20183983,2.0183983000e-06
30,18589836,1.8589836000e-06
31,17148958,1.7148958000e-06
32,15852966,1.5852966000e-06
33,14679086,1.4679086000e-06
34,13623640,1.3623640000e-06
35,12658955,1.2658955000e-06
36,11776261,1.1776261000e-06
37,10982878,1.0982878000e-06
38,10240674,1.0240674000e-06
39,9582154,9.5821540000e-07
40,8965005,8.9650050000e-07
41,8400119,8.4001190000e-07
42,7876630,7.8766300000e-07
43,7399922,7.3999220000e-07
44,6952489,6.9524890000e-07
45,6548957,6.5489570000e-07
46,6169387,6.1693870000e-07
47,5813609,5.8136090000e-07
48,5488424,5.4884240000e-07
49,5185028,5.1850280000e-07
50,4903797,4.9037970000e-07
51,4639372,4.6393720000e-07
52,4391132,4.3911320000e-07
53,4165036,4.1650360000e-07
54,3947800,3.9478000000e-07
55,3746665,3.7466650000e-07
56,3563534,3.5635340000e-07
57,3388127,3.3881270000e-07
58,3217755,3.2177550000e-07
59,3061576,3.0615760000e-07
60,2918061,2.9180610000e-07
61,2779190,2.7791900000e-07
62,2650175,2.6501750000e-07
63,2527422,2.5274220000e-07
64,2412002,2.4120020000e-07
65,2304508,2.3045080000e-07
66,2198195,2.1981950000e-07
67,2105575,2.1055750000e-07
68,2012055,2.0120550000e-07
69,1926841,1.9268410000e-07
70,1844473,1.8444730000e-07
71,1768495,1.7684950000e-07
72,1691953,1.6919530000e-07
73,1623250,1.6232500000e-07
74,1554679,1.5546790000e-07
75,1492559,1.4925590000e-07
76,1433942,1.4339420000e-07
77,1377015,1.3770150000e-07
78,1322956,1.3229560000e-07
79,1269582,1.2695820000e-07
80,1219849,1.2198490000e-07
81,1171892,1.1718920000e-07
82,1128771,1.1287710000e-07
83,1089377,1.0893770000e-07
84,1045638,1.0456380000e-07
85,1010166,1.0101660000e-07
86,968689,9.6868900000e-08
87,934502,9.3450200000e-08
88,901120,9.0112000000e-08
89,869033,8.6903300000e-08
90,839234,8.3923400000e-08
91,809381,8.0938100000e-08
92,778468,7.7846800000e-08
93,754438,7.5443800000e-08
94,727565,7.2756500000e-08
95,703182,7.0318200000e-08
96,678422,6.7842200000e-08
97,655666,6.5566600000e-08
98,633441,6.3344100000e-08
99,611368,6.1136800000e-08
100,592673,5.9267300000e-08
101,574024,5.7402400000e-08
102,554311,5.5431100000e-08
103,537594,5.3759400000e-08
104,519902,5.1990200000e-08
105,502995,5.0299500000e-08
106,486442,4.8644200000e-08
107,471864,4.7186400000e-08
108,458383,4.5838300000e-08
109,442785,4.4278500000e-08
110,428107,4.2810700000e-08
111,416576,4.1657600000e-08
112,402294,4.0229400000e-08
113,390816,3.9081600000e-08
114,379495,3.7949500000e-08
115,368221,3.6822100000e-08
116,358058,3.5805800000e-08
117,347596,3.4759600000e-08
118,337176,3.3717600000e-08
119,327452,3.2745200000e-08
120,317755,3.1775500000e-08
121,309444,3.0944400000e-08
122,299180,2.9918000000e-08
123,291017,2.9101700000e-08
124,282921,2.8292100000e-08
125,276211,2.7621100000e-08
126,267639,2.6763900000e-08
127,260310,2.6031000000e-08
128,252975,2.5297500000e-08
129,246092,2.4609200000e-08
130,239791,2.3979100000e-08
131,232780,2.3278000000e-08
132,226852,2.2685200000e-08
133,220929,2.2092900000e-08
134,214224,2.1422400000e-08
135,208544,2.0854400000e-08
136,203094,2.0309400000e-08
137,198304,1.9830400000e-08
138,192601,1.9260100000e-08
139,188061,1.8806100000e-08
140,182584,1.8258400000e-08
141,177481,1.7748100000e-08
142,172801,1.7280100000e-08
143,169848,1.6984800000e-08
144,164887,1.6488700000e-08
145,160401,1.6040100000e-08
146,157228,1.5722800000e-08
147,153345,1.5334500000e-08
148,148736,1.4873600000e-08
149,145129,1.4512900000e-08
150,142017,1.4201700000e-08
151,138101,1.3810100000e-08
152,134880,1.3488000000e-08
153,131361,1.3136100000e-08
154,127784,1.2778400000e-08
155,125260,1.2526000000e-08
156,122379,1.2237900000e-08
157,119026,1.1902600000e-08
158,116750,1.1675000000e-08
159,113995,1.1399500000e-08
160,111379,1.1137900000e-08
161,108233,1.0823300000e-08
162,106281,1.0628100000e-08
163,103619,1.0361900000e-08
164,101412,1.0141200000e-08
165,98742,9.8742000000e-09
166,96507,9.6507000000e-09
167,94542,9.4542000000e-09
168,92180,9.2180000000e-09
169,90021,9.0021000000e-09
170,88209,8.8209000000e-09
171,85789,8.5789000000e-09
172,84132,8.4132000000e-09
173,81995,8.1995000000e-09
174,80558,8.0558000000e-09
175,78294,7.8294000000e-09
176,77166,7.7166000000e-09
177,75173,7.5173000000e-09
178,73772,7.3772000000e-09
179,71860,7.1860000000e-09
180,70588,7.0588000000e-09
181,69295,6.9295000000e-09
182,67759,6.7759000000e-09
