rho	mean_imb	mean_sq_imb	std_imb	fourth_moment_imb	lcc_mean_imb	lcc_mean_sq_imb	lcc_std_imb	lcc_fourth_moment_imb
0.080000	0.993324	0.987681	0.031427	0.976490	0.993587	0.988204	0.031436	0.977524
0.081000	0.992965	0.986966	0.031416	0.975076	0.993241	0.987515	0.031425	0.976161
0.082000	0.992503	0.986055	0.031498	0.973300	0.992793	0.986631	0.031507	0.974437
0.083000	0.991991	0.985047	0.031621	0.971342	0.992295	0.985650	0.031631	0.972532
0.084000	0.988591	0.980005	0.051896	0.964110	0.988909	0.980636	0.051912	0.965351
0.085000	0.985908	0.976672	0.068253	0.960064	0.986240	0.977330	0.068276	0.961358
0.086000	0.982519	0.970782	0.073743	0.950554	0.982866	0.971467	0.073769	0.951896
0.087000	0.968145	0.947715	0.102032	0.916837	0.968502	0.948415	0.102070	0.918192
0.088000	0.945292	0.914776	0.145600	0.874365	0.945657	0.915483	0.145656	0.875718
0.089000	0.911008	0.866363	0.190859	0.811427	0.911377	0.867064	0.190935	0.812740
0.090000	0.862167	0.796880	0.231405	0.721047	0.862532	0.797555	0.231503	0.722269
0.091000	0.790468	0.699562	0.273355	0.604013	0.790818	0.700182	0.273476	0.605083
0.092000	0.715017	0.599945	0.297820	0.487189	0.715347	0.600500	0.297957	0.488090
0.093000	0.620779	0.477356	0.303297	0.349009	0.621079	0.477817	0.303444	0.349683
0.094000	0.526328	0.367591	0.300948	0.236555	0.526593	0.367961	0.301100	0.237032
0.095000	0.469411	0.302635	0.286860	0.174884	0.469658	0.302953	0.287010	0.175251
0.096000	0.395786	0.223370	0.258308	0.105730	0.396004	0.223615	0.258450	0.105963
0.097000	0.353767	0.180353	0.234950	0.072517	0.353970	0.180559	0.235084	0.072683
0.098000	0.286852	0.121829	0.198858	0.036378	0.287023	0.121974	0.198977	0.036465
0.099000	0.251514	0.096438	0.182149	0.023803	0.251670	0.096558	0.182262	0.023862
0.100000	0.228254	0.078772	0.163314	0.016416	0.228403	0.078874	0.163420	0.016459
0.101000	0.200950	0.060694	0.142523	0.009936	0.201086	0.060776	0.142619	0.009963
0.102000	0.169462	0.044641	0.126190	0.005597	0.169581	0.044704	0.126278	0.005613
0.103000	0.157912	0.038272	0.115482	0.004250	0.158027	0.038328	0.115567	0.004263
0.104000	0.143734	0.031806	0.105578	0.002910	0.143844	0.031855	0.105658	0.002918
0.105000	0.122557	0.023303	0.091009	0.001601	0.122654	0.023340	0.091081	0.001606
0.106000	0.112262	0.019996	0.085982	0.001256	0.112355	0.020029	0.086053	0.001260
0.107000	0.101889	0.016015	0.075059	0.000728	0.101976	0.016043	0.075123	0.000730
0.108000	0.093935	0.013218	0.066288	0.000450	0.094018	0.013241	0.066347	0.000452
0.109000	0.083937	0.011133	0.063935	0.000370	0.084015	0.011154	0.063994	0.000371
0.110000	0.077121	0.009506	0.059653	0.000278	0.077196	0.009524	0.059710	0.000279
0.111000	0.071693	0.008027	0.053730	0.000197	0.071765	0.008043	0.053783	0.000198
0.112000	0.067258	0.007071	0.050468	0.000150	0.067328	0.007085	0.050520	0.000151
0.113000	0.059712	0.005674	0.045915	0.000097	0.059776	0.005686	0.045965	0.000097
0.114000	0.056168	0.004897	0.041740	0.000073	0.056231	0.004908	0.041787	0.000073
0.115000	0.050929	0.004122	0.039092	0.000051	0.050987	0.004131	0.039137	0.000052
0.116000	0.047366	0.003596	0.036776	0.000044	0.047423	0.003605	0.036820	0.000044
0.117000	0.045769	0.003244	0.033904	0.000030	0.045825	0.003252	0.033946	0.000030
0.118000	0.042647	0.002819	0.031624	0.000022	0.042702	0.002826	0.031665	0.000022
0.119000	0.039209	0.002387	0.029145	0.000016	0.039262	0.002393	0.029185	0.000016
0.120000	0.038332	0.002275	0.028381	0.000015	0.038385	0.002281	0.028420	0.000015
0.121000	0.033559	0.001768	0.025336	0.000009	0.033607	0.001773	0.025373	0.000009
0.122000	0.032578	0.001644	0.024131	0.000008	0.032627	0.001649	0.024168	0.000008
0.123000	0.030667	0.001509	0.023850	0.000007	0.030714	0.001514	0.023886	0.000007
0.124000	0.028766	0.001313	0.022043	0.000005	0.028812	0.001318	0.022078	0.000005
0.125000	0.028193	0.001233	0.020944	0.000004	0.028240	0.001238	0.020980	0.000004
0.126000	0.025889	0.001048	0.019429	0.000003	0.025933	0.001051	0.019463	0.000003
0.127000	0.024447	0.000956	0.018935	0.000003	0.024490	0.000960	0.018969	0.000003
0.128000	0.023946	0.000891	0.017812	0.000002	0.023991	0.000894	0.017844	0.000002
0.129000	0.022444	0.000813	0.017600	0.000002	0.022486	0.000817	0.017634	0.000002
0.130000	0.020596	0.000667	0.015588	0.000001	0.020638	0.000670	0.015619	0.000001
