L,rho,mean_density,std_density,second_moment,fourth_moment,Binder_cumulant
40,0.0000000,1.0000000000e+00,0.0000000000e+00,1.0000000000e+00,1.0000000000e+00,6.6666666667e-01
40,0.0111990,9.9584866250e-01,8.8135152239e-04,9.9171533538e-01,9.8350238718e-01,6.6666562252e-01
40,0.0221690,9.8431411875e-01,1.7332950936e-03,9.6887728868e-01,9.3873484121e-01,6.6666253315e-01
40,0.0329110,9.6674817812e-01,2.4908035050e-03,9.3460824401e-01,8.7351575878e-01,6.6665781751e-01
40,0.0434240,9.4434027500e-01,3.1538616017e-03,8.9178850183e-01,7.9532221468e-01,6.6665179460e-01
40,0.0537090,9.1824063125e-01,3.8441236886e-03,8.4318063417e-01,7.1100340850e-01,6.6664330524e-01
40,0.0637650,8.8905122031e-01,4.3292229530e-03,7.9043081451e-01,6.2484013320e-01,6.6663504989e-01
40,0.0735920,8.5816536250e-01,4.8604145260e-03,7.3647141302e-01,5.4245972064e-01,6.6662390628e-01
40,0.0831920,8.2581583906e-01,5.2255782947e-03,6.8199910672e-01,4.6519727368e-01,6.6661328140e-01
40,0.0925620,7.9272697031e-01,5.5504172035e-03,6.2844685659e-01,3.9502288695e-01,6.6660131132e-01
40,0.1017040,7.5935032656e-01,5.8257683016e-03,5.7664685803e-01,3.3259985672e-01,6.6658821778e-01
40,0.1106170,7.2603782344e-01,6.0331494441e-03,5.2716731995e-01,2.7798212177e-01,6.6657462269e-01
40,0.1193020,6.9320480469e-01,6.2361384478e-03,4.8057179066e-01,2.3102397774e-01,6.6655880493e-01
40,0.1277580,6.6121163438e-01,6.4962786638e-03,4.3724302707e-01,1.9125526157e-01,6.6653799861e-01
40,0.1359860,6.2977164219e-01,6.4806280364e-03,3.9665431984e-01,1.5740127835e-01,6.6652550492e-01
40,0.1439850,5.9960278750e-01,6.5508992080e-03,3.5956641706e-01,1.2934971840e-01,6.6650756420e-01
40,0.1517560,5.7034837812e-01,6.5786173113e-03,3.2534055064e-01,1.0590278211e-01,6.6648933994e-01
40,0.1592980,5.4228804844e-01,6.6083839569e-03,2.9411999822e-01,8.6557945146e-02,6.6646871718e-01
40,0.1666120,5.1538795156e-01,6.6137864826e-03,2.6566848279e-01,7.0626222152e-02,6.6644715418e-01
40,0.1736970,4.8970277813e-01,6.5997375086e-03,2.3985236744e-01,5.7570946405e-02,6.6642453879e-01
40,0.1805530,4.6512840625e-01,6.5372332357e-03,2.1638716972e-01,4.6860404319e-02,6.6640328629e-01
40,0.1871810,4.4175677500e-01,6.5521724240e-03,1.9519197922e-01,3.8133422626e-02,6.6637345622e-01
40,0.1935800,4.1955638281e-01,6.5001507612e-03,1.7606981032e-01,3.1030312567e-02,6.6634694724e-01
40,0.1997510,3.9854156250e-01,6.6057805275e-03,1.5887901338e-01,2.5270260336e-02,6.6630062528e-01
40,0.2056930,3.7837645625e-01,6.5326986416e-03,1.4321141880e-01,2.0533954919e-02,6.6626938031e-01
40,0.2114070,3.5940715938e-01,6.6866689943e-03,1.2921821775e-01,1.6720418214e-02,6.6620610619e-01
40,0.2168920,3.4117451094e-01,6.7567127147e-03,1.1644570008e-01,1.3580848605e-02,6.6614434210e-01
40,0.2221490,3.2372253437e-01,6.7840815470e-03,1.0484230302e-01,1.1011166855e-02,6.6608265067e-01
40,0.2271770,3.0703330469e-01,6.8717189473e-03,9.4316670709e-02,8.9134147258e-03,6.6600040906e-01
40,0.2319760,2.9111593281e-01,7.2233328214e-03,8.4800662874e-02,7.2087728658e-03,6.6584990180e-01
40,0.2365470,2.7577384844e-01,7.6369234948e-03,7.6109538082e-02,5.8103302218e-03,6.6564995303e-01
40,0.2408900,2.6045517500e-01,8.0801387750e-03,6.7902186827e-02,4.6283013068e-03,6.6539467584e-01
40,0.2450040,2.4563983594e-01,8.8042533216e-03,6.0416443876e-02,3.6686954615e-03,6.6497278306e-01
40,0.2488890,2.3054346719e-01,9.8090786125e-03,5.3246508286e-02,2.8552518557e-03,6.6430807030e-01
40,0.2525460,2.1570091094e-01,1.1366928722e-02,4.6656090048e-02,2.2001508247e-03,6.6308952200e-01
40,0.2559740,2.0011169844e-01,1.3757829065e-02,4.0233969712e-02,1.6472610760e-03,6.6080033680e-01
40,0.2591740,1.8369300156e-01,1.7722919181e-02,3.4057220687e-02,1.1971075882e-03,6.5597221291e-01
40,0.2621450,1.6622850156e-01,2.2342735661e-02,2.8131112569e-02,8.3737776254e-04,6.4728303275e-01
40,0.2648870,1.4680099375e-01,2.7550487998e-02,2.2309561155e-02,5.5134095733e-04,6.3075302482e-01
40,0.2674010,1.2708202031e-01,3.1256758457e-02,1.7126824836e-02,3.4709730439e-04,6.0556424686e-01
40,0.2696870,1.0823691094e-01,3.3052004747e-02,1.2807663907e-02,2.1064054712e-04,5.7196343081e-01
40,0.2717440,9.2435009375e-02,3.2748649974e-02,9.6167050333e-03,1.2922516968e-04,5.3422811983e-01
40,0.2735720,7.8367935937e-02,3.1180531497e-02,7.1137589275e-03,7.7581411104e-05,4.8897972354e-01
40,0.2751720,6.7715781250e-02,2.8940365479e-02,5.4229717844e-03,4.8647200279e-05,4.4860616424e-01
40,0.2765430,5.9449887500e-02,2.6473520615e-02,4.2351364175e-03,3.1136629497e-05,4.2135056104e-01
