sample_id, N_active, N_A_1, N_B_1, N_A_0, N_B_0, N_A_*, N_B_*, seed
10, 2296502, 1483, 1138134, 1137383, 832, 9335, 9335, 2790396147
11, 2294623, 1462, 1137335, 1136595, 831, 9200, 9200, 4265592643
8, 2297268, 1536, 1138736, 1137954, 932, 9055, 9055, 675720151
9, 2298011, 2221, 1138377, 1137715, 1624, 9037, 9037, 700900813
5, 2296959, 1302, 1138824, 1138096, 689, 9024, 9024, 2695955433
2, 2297159, 1487, 1138611, 1137961, 866, 9117, 9117, 449603391
7, 2296799, 1263, 1138326, 1137641, 665, 9452, 9452, 2750784609
4, 2295417, 1291, 1136501, 1135820, 709, 10548, 10548, 2505272909
12, 2299244, 1258, 1140351, 1139629, 692, 8657, 8657, 2957322551
1, 2294671, 1137237, 1408, 799, 1136523, 9352, 9352, 1624140020
0, 2295564, 1129200, 1662, 1033, 1128543, 17563, 17563, 283927559
6, 2298036, 1138884, 1427, 779, 1138202, 9372, 9372, 2874890552
3, 2297083, 1129935, 9042, 8440, 1129338, 10164, 10164, 1536994464
17, 2297440, 1099, 1138702, 1137838, 513, 9644, 9644, 3685833378
15, 2299160, 1326, 1139442, 1138639, 803, 9475, 9475, 1937556912
14, 2298287, 1145, 1139413, 1138685, 586, 9229, 9229, 1696725001
13, 2298767, 1139941, 1317, 736, 1139253, 8760, 8760, 621977527
16, 2296432, 1138763, 1364, 793, 1137720, 8896, 8896, 3827548888
18, 2296287, 1325, 1137113, 1136203, 708, 10469, 10469, 3334728016
23, 2299134, 1065, 1140680, 1139837, 512, 8520, 8520, 2814245769
25, 2295103, 1078, 1137370, 1136491, 510, 9827, 9827, 3717826657
20, 2298984, 1139394, 1107, 572, 1138595, 9658, 9658, 1753433677
19, 2299501, 1140239, 1240, 631, 1139651, 8870, 8870, 3495069758
21, 2298685, 1139590, 1306, 713, 1138956, 9060, 9060, 3338807705
22, 2297983, 1138357, 1861, 1269, 1137600, 9448, 9448, 281857845
31, 2297983, 1435, 1139320, 1138461, 895, 8936, 8936, 2090959387
28, 2297305, 1168, 1139411, 1138659, 595, 8736, 8736, 2447729575
29, 2299756, 1140707, 1065, 534, 1139862, 8794, 8794, 3430166190
27, 2296281, 1138052, 1337, 754, 1137362, 9388, 9388, 2467042258
30, 2297906, 1139777, 1192, 617, 1138820, 8750, 8750, 2449709169
26, 2298496, 1139274, 1443, 846, 1138663, 9135, 9135, 3835172790
24, 2298250, 1138252, 1132, 578, 1137642, 10323, 10323, 669618344
34, 2292792, 1239, 1135826, 1135095, 642, 9995, 9995, 4174461593
32, 2296482, 1350, 1137759, 1137102, 731, 9770, 9770, 254698575
33, 2298018, 1139230, 1359, 761, 1138552, 9058, 9058, 2919489586
35, 2298797, 1082, 1755, 1138, 480, 1147171, 1147171, 3429038066
41, 2297663, 1363, 1139450, 1138712, 772, 8683, 8683, 908823039
39, 2297282, 8409, 1131317, 1130593, 7797, 9583, 9583, 3560465974
42, 2296996, 1557, 1138394, 1137413, 956, 9338, 9338, 3160726640
43, 2296755, 1860, 1137812, 1137174, 1255, 9327, 9327, 4094422293
36, 2297700, 1138856, 1279, 685, 1138212, 9334, 9334, 2653346856
38, 2296825, 1138898, 1133, 586, 1138184, 9012, 9012, 3771183315
40, 2294689, 1137414, 1557, 930, 1136550, 9119, 9119, 3451532024
44, 2297501, 1319, 1138125, 1137362, 689, 10003, 10003, 3232144439
37, 2297912, 1139011, 1258, 674, 1138231, 9369, 9369, 3603474311
47, 2296307, 1406, 1138190, 1137146, 789, 9388, 9388, 3756195213
46, 2297857, 1333, 1139440, 1138551, 789, 8872, 8872, 1949782890
52, 2298910, 1741, 1139196, 1138345, 1146, 9241, 9241, 2107952954
50, 2296684, 1261, 1138607, 1137861, 687, 9134, 9134, 2985308238
54, 2297817, 1176, 1139231, 1138267, 639, 9252, 9252, 352478116
45, 2298741, 1139842, 1319, 721, 1139203, 8828, 8828, 2943155130
56, 2295969, 1305, 1138495, 1137466, 717, 8993, 8993, 1920531191
51, 2296442, 1137703, 1429, 824, 1136824, 9831, 9831, 2172367994
48, 2295804, 1907, 1137415, 1136815, 1293, 9187, 9187, 1264639312
49, 2296072, 1137070, 1515, 909, 1136366, 10106, 10106, 2679366656
57, 2296388, 1138121, 1816, 1207, 1137154, 9045, 9045, 1338906975
59, 2296244, 1116, 1138023, 1137160, 541, 9702, 9702, 3295513754
53, 2297932, 1420, 1139335, 1138541, 816, 8910, 8910, 2687367714
55, 2296402, 1138396, 1296, 689, 1137627, 9197, 9197, 1524612943
62, 2295554, 1657, 1137494, 1136689, 1036, 9339, 9339, 1608560437
60, 2298724, 1139063, 1534, 993, 1138304, 9415, 9415, 992205127
61, 2296430, 1631, 1137069, 1136439, 1007, 10142, 10142, 2015215315
63, 2295649, 1325, 1137919, 1137062, 751, 9296, 9296, 2764651251
58, 2297877, 1138624, 1695, 1073, 1137951, 9267, 9267, 2842738617
64, 2297455, 1606, 1137861, 1137068, 964, 9978, 9978, 3698479472
65, 2297264, 1385, 1138458, 1137888, 775, 9379, 9379, 367087218
