sample_id, N_LCC, N_A_1_LCC, N_B_1_LCC, N_A_0_LCC, N_B_0_LCC, N_A_*_LCC, N_B_*_LCC
0, 1781208, 360913, 361397, 348711, 348301, 180943, 180943
1, 1781290, 362626, 368413, 355572, 350175, 172252, 172252
2, 1780638, 374791, 356055, 343296, 361888, 172304, 172304
3, 1776723, 365414, 359785, 347051, 352587, 175943, 175943
4, 1776440, 377322, 350716, 338246, 364056, 173050, 173050
5, 1777683, 364377, 356745, 344107, 351842, 180306, 180306
6, 1780214, 372805, 348204, 335674, 359767, 181882, 181882
7, 1778087, 358858, 369666, 356829, 346152, 173291, 173291
8, 1776138, 349166, 374255, 360740, 336421, 177778, 177778
9, 1776783, 360260, 363497, 350667, 347643, 177358, 177358
10, 1777237, 350575, 372276, 359495, 337833, 178529, 178529
11, 1777032, 376441, 355274, 342622, 363247, 169724, 169724
12, 1778864, 356466, 371726, 358675, 344051, 173973, 173973
13, 1779249, 364484, 366100, 353598, 351743, 171662, 171662
14, 1776976, 369300, 349431, 336805, 356338, 182551, 182551
15, 1776988, 355297, 370485, 357888, 342486, 175416, 175416
16, 1779257, 365694, 358148, 345488, 352995, 178466, 178466
17, 1777263, 363351, 357997, 344914, 350689, 180156, 180156
18, 1776294, 361399, 366627, 353605, 348623, 173020, 173020
19, 1780351, 371518, 360197, 347533, 358571, 171266, 171266
20, 1782082, 369287, 354282, 341788, 356623, 180051, 180051
21, 1779131, 361212, 364919, 352065, 348397, 176269, 176269
22, 1779975, 367146, 356236, 343841, 354580, 179086, 179086
23, 1775976, 352747, 368613, 355735, 340037, 179422, 179422
24, 1776884, 363532, 358462, 345839, 350605, 179223, 179223
25, 1780315, 363818, 360433, 347888, 351144, 178516, 178516
26, 1777611, 359891, 362378, 349580, 347282, 179240, 179240
27, 1781005, 365162, 364395, 351745, 352473, 173615, 173615
28, 1777443, 362558, 366732, 353785, 349932, 172218, 172218
29, 1776238, 360388, 363255, 350303, 347478, 177407, 177407
30, 1778366, 364583, 350505, 338022, 351636, 186810, 186810
31, 1775757, 367706, 357817, 344899, 354811, 175262, 175262
32, 1777614, 363605, 360247, 347386, 350966, 177705, 177705
33, 1776613, 359274, 364611, 351920, 346454, 177177, 177177
34, 1781662, 360963, 367040, 354270, 348171, 175609, 175609
35, 1778590, 349839, 375381, 362427, 337077, 176933, 176933
36, 1779461, 359962, 363951, 351000, 347420, 178564, 178564
37, 1778756, 345183, 379785, 366767, 332609, 177206, 177206
38, 1782991, 360238, 364357, 352067, 347673, 179328, 179328
39, 1775577, 351174, 373369, 360489, 338475, 176035, 176035
40, 1777245, 358686, 365985, 353256, 346044, 176637, 176637
41, 1782801, 364785, 363873, 351135, 351916, 175546, 175546
42, 1777551, 348635, 375030, 361730, 336176, 177990, 177990
43, 1777126, 372680, 351479, 338621, 359692, 177327, 177327
44, 1778084, 365010, 351740, 339309, 352265, 184880, 184880
45, 1780997, 354131, 374687, 361795, 341700, 174342, 174342
46, 1776166, 367804, 357673, 344845, 354846, 175499, 175499
47, 1781049, 366317, 364354, 351633, 353507, 172619, 172619
48, 1778665, 351750, 375323, 362356, 339158, 175039, 175039
49, 1777419, 343503, 384549, 371298, 330969, 173550, 173550
50, 1782489, 369296, 359047, 346462, 356448, 175618, 175618
51, 1780016, 344422, 379401, 366590, 332195, 178704, 178704
52, 1779712, 375301, 353081, 340316, 362766, 174124, 174124
53, 1778621, 343658, 375740, 363132, 331253, 182419, 182419
54, 1780785, 362344, 360524, 348039, 349576, 180151, 180151
55, 1783480, 368429, 360491, 347831, 355917, 175406, 175406
56, 1780344, 362131, 361519, 349019, 349643, 179016, 179016
57, 1774730, 368871, 357509, 344872, 355926, 173776, 173776
58, 1777785, 358435, 367394, 354311, 345501, 176072, 176072
59, 1776976, 375098, 353405, 340430, 362017, 173013, 173013
60, 1781713, 358026, 373426, 360645, 345442, 172087, 172087
61, 1780317, 378784, 349841, 337207, 365837, 174324, 174324
62, 1780547, 358093, 373950, 360940, 345664, 170950, 170950
63, 1781975, 363177, 368741, 356147, 350438, 171736, 171736
64, 1778001, 363141, 361251, 348363, 350300, 177473, 177473
65, 1778784, 369087, 355200, 342328, 356103, 178033, 178033
66, 1773843, 361895, 360809, 348175, 348970, 176997, 176997
67, 1779554, 347503, 379088, 366049, 335090, 175912, 175912
68, 1776643, 356835, 369754, 356668, 344092, 174647, 174647
69, 1777887, 359832, 368543, 355721, 347207, 173292, 173292
70, 1775887, 362104, 360892, 347970, 349425, 177748, 177748
71, 1774693, 367230, 358327, 345369, 354447, 174660, 174660
72, 1781747, 361187, 369817, 357012, 348349, 172691, 172691
73, 1775884, 366488, 357549, 344766, 353807, 176637, 176637
74, 1777831, 344856, 382059, 368763, 332287, 174933, 174933
75, 1779265, 358693, 368608, 355204, 346046, 175357, 175357
76, 1778331, 368481, 353554, 340802, 355622, 179936, 179936
77, 1778460, 385691, 340140, 327861, 372434, 176167, 176167
78, 1778821, 352410, 369552, 357014, 340269, 179788, 179788
79, 1777754, 349070, 377760, 364868, 336562, 174747, 174747
80, 1778158, 385387, 343150, 330615, 372252, 173377, 173377
81, 1778859, 373125, 353627, 341039, 360296, 175386, 175386
82, 1779024, 366917, 362014, 349132, 354301, 173330, 173330
83, 1779864, 345956, 381500, 368822, 333534, 175026, 175026
84, 1779220, 370276, 357506, 345020, 357432, 174493, 174493
