sample_id, N_active, N_A_1, N_B_1, N_A_0, N_B_0, N_A_*, N_B_*
0, 2477478, 505061, 493029, 448426, 460024, 285469, 285469
1, 2478548, 506483, 492820, 448622, 461507, 284558, 284558
2, 2483044, 498633, 502284, 457645, 453800, 285341, 285341
3, 2480439, 503186, 497941, 453533, 458931, 283424, 283424
4, 2476263, 496935, 501941, 456933, 452532, 283961, 283961
5, 2474742, 496928, 499745, 454741, 452310, 285509, 285509
6, 2482457, 511443, 490454, 446446, 466582, 283766, 283766
7, 2480465, 493867, 497045, 452579, 449366, 293804, 293804
8, 2484440, 501278, 500412, 456005, 456905, 284920, 284920
9, 2472999, 491552, 499748, 454670, 446601, 290214, 290214
10, 2473999, 496016, 499470, 454329, 451128, 286528, 286528
11, 2480343, 499176, 499853, 455326, 454546, 285721, 285721
12, 2477275, 493377, 504899, 459974, 449195, 284915, 284915
13, 2474954, 501311, 497682, 453082, 456235, 283322, 283322
14, 2478978, 498027, 498011, 453651, 453397, 287946, 287946
15, 2477775, 501765, 496634, 452429, 456881, 285033, 285033
16, 2476654, 494946, 500984, 456340, 450544, 286920, 286920
17, 2479008, 498960, 495675, 451710, 454203, 289230, 289230
18, 2479117, 506632, 487545, 443120, 462302, 289759, 289759
19, 2478366, 507068, 493848, 449348, 462392, 282855, 282855
20, 2477946, 492528, 505764, 460760, 448332, 285281, 285281
21, 2480369, 499339, 502421, 458397, 454482, 282865, 282865
22, 2483156, 505107, 495864, 451760, 460887, 284769, 284769
23, 2478106, 486534, 510347, 465123, 441894, 287104, 287104
24, 2476301, 488800, 511175, 465734, 444826, 282883, 282883
25, 2477865, 506442, 492169, 447465, 461537, 285126, 285126
26, 2478051, 506525, 491489, 447082, 461969, 285493, 285493
27, 2479628, 502202, 501238, 456710, 457428, 281025, 281025
28, 2477706, 507244, 494957, 450795, 461948, 281381, 281381
29, 2475423, 497918, 497911, 453528, 453150, 286458, 286458
30, 2477804, 501296, 503458, 458741, 456251, 279029, 279029
31, 2480729, 492090, 507705, 462943, 447251, 285370, 285370
