sample_id, N_LCC, N_A_1_LCC, N_B_1_LCC, N_A_0_LCC, N_B_0_LCC, N_A_*_LCC, N_B_*_LCC, seed
14, 964761, 113335, 323886, 320859, 110693, 47994, 47994, 434029049
13, 966008, 385304, 58953, 56646, 382133, 41486, 41486, 4281800163
9, 970362, 245116, 189036, 186585, 242633, 53496, 53496, 2714177520
1, 968624, 96081, 334418, 331724, 93763, 56319, 56319, 2045950404
8, 962409, 216585, 216666, 213944, 213860, 50677, 50677, 2466999374
12, 964645, 305157, 132840, 130395, 302181, 47036, 47036, 3873226441
0, 966061, 325369, 112441, 110081, 322528, 47821, 47821, 110897395
2, 965866, 208123, 209664, 206771, 205488, 67910, 67910, 3154469639
4, 965554, 178800, 260658, 257989, 176163, 45972, 45972, 2018349752
15, 965271, 364380, 70306, 67963, 361444, 50589, 50589, 1780161238
5, 964646, 358497, 77392, 75037, 355868, 48926, 48926, 283963274
7, 963540, 327862, 107808, 105349, 324979, 48771, 48771, 742839101
6, 966807, 311198, 129230, 126659, 308748, 45486, 45486, 1245072731
10, 969285, 280098, 159644, 157200, 277791, 47276, 47276, 175894562
11, 965291, 351669, 88277, 85566, 349193, 45293, 45293, 4208896383
3, 964695, 287187, 146474, 144028, 284834, 51086, 51086, 827850527
18, 971666, 65651, 376700, 374276, 63369, 45835, 45835, 1522769980
26, 969241, 92172, 344958, 341832, 89835, 50222, 50222, 941976962
19, 969209, 336908, 105437, 103051, 333935, 44939, 44939, 1959896985
20, 966781, 111351, 326547, 324046, 108803, 48017, 48017, 185236579
22, 965764, 190747, 244062, 241390, 188179, 50693, 50693, 425114755
23, 967307, 189720, 245249, 242564, 186940, 51417, 51417, 903784585
30, 966789, 147290, 290557, 287568, 144912, 48231, 48231, 3944238496
16, 969166, 399318, 46802, 44607, 396485, 40977, 40977, 4191728985
28, 963885, 334999, 103673, 101141, 332052, 46010, 46010, 1058024154
17, 969040, 232114, 201032, 198193, 229755, 53973, 53973, 911794350
27, 970036, 395799, 50364, 48221, 392976, 41338, 41338, 1819552175
29, 969368, 340792, 101550, 99011, 338113, 44951, 44951, 2896301763
25, 968908, 191375, 248287, 245512, 189076, 47329, 47329, 322150021
24, 969222, 357172, 80911, 78415, 354814, 48955, 48955, 439202497
31, 967267, 312428, 118024, 115377, 309496, 55971, 55971, 945004930
21, 969124, 62638, 378783, 376113, 60212, 45689, 45689, 2873928586
32, 964076, 83732, 350073, 347094, 81137, 51020, 51020, 2020665258
34, 964228, 170773, 264212, 260964, 168257, 50011, 50011, 338227044
33, 967062, 278709, 162324, 159624, 275903, 45251, 45251, 1924722773
