sample_id, N_LCC, N_A_1_LCC, N_B_1_LCC, N_A_0_LCC, N_B_0_LCC, N_A_*_LCC, N_B_*_LCC, size_A_determined, size_B_determined, seed
4, 5119556, 14210, 2478308, 2474694, 11294, 70525, 70525, 681,4952934,3427059084
6, 5126753, 13615, 2482396, 2478903, 10977, 70431, 70431, 1040,4961246,3752841853
10, 5122824, 13582, 2480795, 2477095, 10772, 70290, 70290, 730,4957835,3350722827
15, 5120542, 14241, 2477470, 2474252, 11481, 71549, 71549, 1903,4951658,2359369281
13, 5123832, 11970, 2482290, 2479382, 9374, 70408, 70408, 466,4961608,719688291
0, 5126155, 2484142, 12757, 10114, 2480500, 69321, 69321, 4964553,1151,1346514977
9, 5127004, 13400, 2482739, 2479685, 10656, 70262, 70262, 619,4962379,3884646973
8, 5127076, 2482726, 13350, 10525, 2479553, 70461, 70461, 4962221,293,654200290
14, 5127702, 2485873, 12598, 10085, 2482400, 68373, 68373, 4968204,1347,283809193
12, 5127132, 12512, 2484219, 2481244, 9827, 69665, 69665, 567,4965382,3324051970
1, 5122469, 2480002, 14310, 11607, 2477034, 69758, 69758, 4956987,1281,1796637854
3, 5119615, 2480877, 12668, 9958, 2477576, 69268, 69268, 4958380,498,1458234794
5, 5119351, 12805, 2479231, 2475740, 10073, 70751, 70751, 248,4954918,985523507
2, 5119512, 2478682, 12825, 10153, 2475852, 71000, 71000, 4954458,364,163415358
17, 5117862, 14815, 2476681, 2472632, 12080, 70827, 70827, 2273,4949217,2191056424
11, 5126827, 14145, 2481922, 2478337, 11397, 70513, 70513, 1361,4960204,3539453129
20, 5128652, 12625, 2486167, 2481769, 9969, 69061, 69061, 651,4967836,4086858447
19, 5116837, 12526, 2479564, 2476054, 9795, 69449, 69449, 734,4955565,91984846
7, 5120198, 2479121, 13121, 10389, 2475697, 70935, 70935, 4954757,619,1115372819
16, 5126905, 12815, 2482189, 2479010, 10117, 71387, 71387, 2169,4961138,376654267
22, 5118241, 14529, 2476808, 2473783, 11743, 70689, 70689, 1763,4950522,344747684
21, 5125608, 2479580, 14993, 12130, 2476269, 71318, 71318, 4955790,1075,918446794
25, 5127607, 2483594, 12769, 10051, 2479771, 70711, 70711, 4963307,589,454660156
27, 5126592, 13075, 2483583, 2480716, 10340, 69439, 69439, 926,4964245,3213667893
24, 5124960, 13321, 2481026, 2478201, 10584, 70914, 70914, 408,4959169,3997238578
23, 5125604, 2481485, 14306, 11518, 2477759, 70268, 70268, 4959207,2393,1185799259
30, 5124538, 2482021, 13710, 10913, 2477716, 70089, 70089, 4959691,838,590078428
32, 5115421, 2478894, 12830, 10115, 2474218, 69682, 69682, 4953058,591,261516185
28, 5123113, 2481806, 13503, 10684, 2477514, 69803, 69803, 4959248,643,3354038866
33, 5129308, 2486308, 11915, 9304, 2481513, 70134, 70134, 4967738,470,1279333040
26, 5130645, 11969, 2486939, 2483910, 9397, 69215, 69215, 497,4970804,3920139134
35, 5114389, 13173, 2476029, 2472962, 10485, 70870, 70870, 665,4948889,3717910328
34, 5125617, 2483302, 12845, 10127, 2479717, 69813, 69813, 4962981,1118,4073182066
31, 5115977, 2476619, 12921, 10205, 2473396, 71418, 71418, 4949969,433,3798373262
18, 5119073, 2479380, 12643, 9979, 2476551, 70260, 70260, 4955870,1127,1807805367
29, 5133081, 13894, 2485217, 2482199, 11299, 70236, 70236, 1366,4967348,2168633468
42, 5129603, 13908, 2484124, 2480338, 11229, 70002, 70002, 1317,4964383,1280767684
39, 5131035, 12849, 2484892, 2481802, 10214, 70639, 70639, 2246,4966652,3495680322
40, 5126886, 2483303, 12389, 9733, 2479413, 71024, 71024, 4962676,473,1462100649
41, 5122932, 13013, 2480456, 2477508, 10265, 70845, 70845, 446,4957897,3364887175
